symbol,date,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
AMD,1997-03-30,2.0848585690515806,1.5174708818635607,0.37437603993344426,187.12862318840578,38.41306215983958,84.55436650766566,60.068748209682035,24.485618297983628,0.3675724637681159,0.006340579710144928,0.013405797101449275,0.02355072463768116,0.28378378378378377,0.0037945125510799767,0.006360078277886497,0.0026194690265486727,1.7567567567567568,1,0.013405797101449275,0.40338587273788673,0.6761252446183953,0.25018341892883345,0.2537422416940489,-0.7872340425531915,0.1651798561151079,1.6761252446183954,1.9505300353356891,1.4982832618025752,2.342953020134228,0.2983783783783784,0.16112084063047286,0.3911413969335605,-0.12197614991482113,2.143100511073254,0.0,0.20797101449275363,-0.3118466898954704,0.1651798561151079,8.830769230769231,-0.7622841965471447,,,2.9795132093933465,2.9795132093933465,11.032835144927537,468.47115384615387,-170.11522346368716,53.049869337979096,53.049869337979096,848.7424916904084,11.032835144927537,,69.41931216931216,2.9795132093933465
AMD,1996-12-29,1.765008576329331,1.039451114922813,0.2847341337907376,161.60193197826524,39.08629441624365,78.9333461369118,56.85279187817259,22.080554258739205,0.2861742805393439,-0.10766753874018917,-0.1149124572348561,-0.04266452002414973,0.39929947460595444,-0.006740858505564388,-0.010484668644906034,-0.02228727556596409,0.3712784588441331,1,-0.1149124572348561,0.3570747217806041,0.5553907022749752,0.18038102959059588,0.185334407735697,7.5131578947368425,0.3580434782608696,1.5553907022749753,2.2586363636363638,1.5830357142857143,2.3025974025974025,0.27806379406827086,0.15799682034976154,0.600656455142232,0.10503282275711166,1.4077315827862873,0.0,0.3314550211310123,0.1748633879781422,0.3580434782608696,10.98,-1.2119205298013247,,,1.7459569732937685,1.7459569732937685,7.104699134634735,-166.52476415094338,122.58072916666659,21.434881602914388,21.434881602914388,-281.8585822851153,7.104699134634735,,117.31058282208593,1.7459569732937685
AMD,1996-09-29,2.1181434599156117,1.2552742616033756,0.7616033755274262,186.93368351936968,43.44092389694996,89.5341609291233,44.5069588392064,45.027202089916905,0.2608885970671919,-0.168308163711972,-0.166557233530313,-0.0840446487196323,0.4007884362680683,-0.012573673870333988,-0.01885125184094256,-0.02949612403100775,0.5045992115637319,1,-0.166557233530313,0.3330058939096267,0.4992636229749632,0.17929089443996776,0.18356713426853707,22.38235294117647,-0.05698689956331876,1.4992636229749632,1.9525641025641025,2.0221556886227545,2.0717791411042943,0.2636468551644547,0.14960707269155207,-0.09630996309963097,-0.6258302583025831,1.3321033210332103,0.0,-0.05712409717662507,6.498084291187743,-0.05698689956331876,-2.007692307692307,0.1818815331010452,,,0.9811610211094747,0.9811610211094747,4.37431604289779,-52.04752604166667,-11.784345518867923,-76.5756704980843,-76.5756704980843,-87.06715776105968,4.37431604289779,,107.46794871794866,0.9811610211094747
AMD,1996-06-30,1.8653846153846154,1.0512820512820513,0.6025641025641025,168.42452208305866,41.70616113744076,83.23549534970181,41.943127962085306,41.2923673876165,0.16545814106789716,-0.2208305866842452,-0.17424741814985717,-0.07624697868600308,0.39974779319041615,-0.012196836555360281,-0.016755190729116368,-0.03336137989061843,0.43757881462799497,1,-0.17424741814985717,0.2720562390158172,0.3737324963785611,0.08886933567971843,0.0936542669584245,44.05555555555556,-0.1191588785046729,1.373732496378561,2.1671428571428573,2.145762711864407,2.1579545454545452,0.2707317073170732,0.15996485061511423,-0.09465478841870824,-0.504083147735709,1.046770601336303,0.0,-0.05603164139749506,5.325490196078431,-0.1191588785046729,-2.125,0.23118766999093382,,,0.910574601641719,0.910574601641719,4.143704680290046,-54.345821325648416,-13.88659793814433,-73.95294117647059,-73.95294117647059,-90.37508805635608,4.143704680290046,,79.0347826086956,0.910574601641719
AMD,1996-03-31,1.900562851782364,1.2082551594746718,0.7673545966228893,157.61668504226387,41.008950366151346,79.87333845876435,38.81204231082181,41.06129614794254,0.3224917309812569,-0.04097758177140757,0.006982726938625505,0.04649026093348034,0.0,0.008561759729272419,0.011922714420358152,0.001568951279933939,6.657894736842105,1,0.006982726938625505,0.28189509306260574,0.39255419415645615,0.08848797250859107,0.09393680614859094,-1.9,-0.11136363636363636,1.392554194156456,2.315744680851064,2.318867924528302,2.194642857142857,0.32783132530120485,0.18416243654822334,-0.08851156069364162,-0.4328034682080925,1.4776011560693643,0.0,-0.0450202131569276,4.889795918367347,-0.11136363636363636,-1.75,0.2570828961175236,,,1.1495287464655985,1.1495287464655985,4.482359426681367,96.41501976284584,-20.36143572621035,-99.56326530612245,-99.56326530612245,164.73874981701067,4.482359426681367,,21.868804664723033,1.1495287464655985
AMD,1995-12-31,1.683431952662722,1.1760355029585798,0.1863905325443787,175.38642473118279,32.87286349800983,76.11883123994531,50.995083118707555,25.123748121237753,0.2824260752688172,-0.0678763440860215,-0.05712365591397849,0.015625,0.6411764705882353,0.0030214424951267057,0.004424357754519505,-0.014154870940882597,-0.2735294117647059,1,-0.05712365591397849,0.3170890188434048,0.4643196955280685,0.09279240397065171,0.10324232081911262,20.0,0.5198347107438017,1.4643196955280684,2.081118881118881,1.7648760330578512,2.737820512820513,0.36248477466504264,0.19337231968810917,0.45219266714593825,-0.031991373112868406,1.8296189791516895,0.0,0.21135752688172046,-0.07074721780604125,0.5198347107438017,4.65925925925926,-0.9339272457312547,,,1.1415199809705043,1.1415199809705043,4.031376008064516,258.008064516129,-269.60393258426996,19.073728139904606,19.073728139904606,443.0731083233771,4.031376008064516,,32.37419562419562,1.1415199809705043
AMD,1995-10-01,1.6453488372093024,1.2165697674418605,0.7165697674418605,206.8533772652389,37.37785016286645,88.38279250224042,51.302931596091206,37.079860906149214,0.3930807248764415,0.049093904448105435,0.0657331136738056,0.06919275123558484,0.2556390977443609,0.014155712841253791,0.020792079207920793,0.017507678806494075,1.0526315789473684,1,0.0657331136738056,0.31917762049207954,0.4688118811881188,0.09660107334525939,0.10659000442282177,-133.0,0.3452282157676348,1.4688118811881188,1.7645348837209303,1.7542857142857142,2.407843137254902,0.3827238335435057,0.20458375463431075,0.2983148081749731,-0.29508784510577274,1.767658659017569,0.0,0.13706754530477758,-0.9891826923076926,0.3452282157676348,3.3279999999999994,-0.5027190332326283,,,1.9761169554455444,1.9761169554455444,6.576204695222406,95.04181547619048,-48.50250607533413,47.97783954326923,47.97783954326923,163.62445886610817,6.576204695222406,,31.585779138513512,1.9761169554455444
AMD,1995-07-02,1.737991266375546,1.331877729257642,0.7991266375545851,209.09375489121928,37.89173789173789,89.44910211149059,54.98575498575499,34.4633471257356,0.5055564251056504,0.17326655188605417,0.1832837689779308,0.1263108467678823,0.3330486763450043,0.02781799379524302,0.04140584915341201,0.0528906955736224,0.6891545687446626,1,0.1832837689779308,0.32816270251637364,0.4884556182657773,0.10267034990791897,0.11489554950045414,-234.2,0.6948616600790514,1.4884556182657773,1.7456284153005464,1.6367875647668393,2.375187969924812,0.43023569023569025,0.22023440193036883,0.6385760988013076,0.1696331274972757,1.9941881583726844,0.0,0.2751604319924871,0.2656427758816837,0.6948616600790514,5.86,-1.3617350890782338,,,2.5601911236531554,2.5601911236531554,7.810005478165597,61.83162949194548,106.84823340471092,28.38346131968146,28.38346131968146,105.07560246378141,7.810005478165597,,26.76061858608894,2.5601911236531554
AMD,1995-04-02,1.8107202680067003,1.3852596314907872,0.8174204355108877,197.21868026777173,36.800785083415114,85.43004871108486,48.57703631010795,36.853012400976915,0.5127510360216767,0.19461268728084158,0.20497290404845395,0.13436404207841887,0.3328149300155521,0.031199111769059956,0.04576547231270358,0.061092636579572444,0.6555209953343701,1,0.20497290404845395,0.3182827535159141,0.46688382193268185,0.1066925315227934,0.12118320610687022,-214.33333333333334,0.6311023622047244,1.4668838219326819,1.8507374631268436,1.8527272727272728,2.4456,0.4462304409672831,0.2321983715766099,0.5963541666666666,-0.13504464285714285,1.8154761904761905,0.0,0.2554988842843481,-0.2264504054897068,0.6311023622047244,4.714705882352941,-0.8153611393692777,,,2.4899022801302935,2.4899022801302935,7.310168951227287,54.405693950177934,-126.34710743801652,28.611353711790393,28.611353711790393,90.2731514432582,7.310168951227287,,23.60303687635575,2.4899022801302935
AMD,1994-12-25,1.6672297297297298,1.2077702702702702,0.6385135135135135,225.61445341159208,44.01061410159212,99.6415752167792,50.83396512509477,48.80761009168443,0.5159574468085106,0.2164343360234776,0.11977256052824652,0.0748349229640499,0.32924961715160794,0.01668029435813573,0.02351585014409222,0.03522114347357066,0.6248085758039816,1,0.11977256052824652,0.2902698282910875,0.4092219020172911,0.041965764770844835,0.05860010851871948,,1.1629629629629628,1.4097982708933718,1.6178041543026707,1.770469798657718,2.0449612403100774,0.43132911392405066,0.22289452166802945,0.5952606635071088,-0.6341232227488153,1.7914691943127963,0.06372549019607844,0.23037417461482018,-1.0652866242038221,1.1629629629629628,3.924999999999999,-0.48419429452582874,-0.48909657320872263,0.06372549019607844,1.459365994236311,1.459365994236311,4.6441672780630965,62.05882352941177,-18.923766816143495,20.159235668789815,20.159235668789815,80.82970225127087,4.6441672780630965,0.0010268562401263826,18.632619439868204,1.459365994236311
