symbol,date,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
SNP,2020-04-29,0.7759399060797852,0.20343018399226612,0.11857348897016265,2230.7109058134297,,,,,1.0,0.8482424515547544,0.8482424515547544,0.0,1.0,0.0,0.0,0.006444555339377012,0.0,1.0,0.8482424515547544,0.5310386110617807,1.3474738541447322,0.12036659726904297,0.21487002122777202,1.932494866529774,0.008304608313841355,2.537431038113287,0.16362496773955684,0.0,0.0,0.01451493684465289,0.004910544115507328,0.0002872095086038673,0.0002872095086038673,0.013446868901898173,,0.18240198287516898,1.0,0.008304608313841355,0.01660921662768271,,,,376.1165297957465,376.1165297957465,30185.51261829653,,165488.94996911674,165488.94996911674,165488.94996911674,,30185.51261829653,3.2658196959234473e-06,35601.774737680964,376.1165297957465
SNP,2019-12-31,-2.6448412698412698,-1.5354662698412698,-1.4020337301587302,11.275264124942582,,,,,1.0,5.044901240238861,5.163470372071658,4.13602434542949,-0.19898362004737175,3.059115810931329,,3.26070560934044,0.8010163799526282,1.0,5.163470372071658,37.33961863507029,,,,24.031801175841796,1.8306310308235236,,32.37174721189591,0.0,0.0,1.816626681965161,0.7396271287212809,0.026315304020711965,0.026315304020711965,0.0010027124498111644,-0.6545472214124082,8.518488745980708,1.0,1.8306310308235236,3.6612620616470473,,,-0.6545472214124083,,,17655.063982544787,4268.607364957727,2072.5582329230647,2072.558232923064,2072.558232923064,334085.2371868602,17655.063982544787,-0.00015333975825131677,3500.4436880562703,
SNP,2019-10-30,0.8948893096319688,0.275984973673823,0.14860742217553907,1723.7569763115464,,,,,1.0,0.5256108148331886,0.6287982140642441,0.0,1.0,0.0,0.0,0.008254290765939573,0.0,1.0,0.6287982140642441,0.5220545397999053,1.313481463521483,0.07942931422592815,0.1471690886640185,2.3358673116793365,-0.5125814280240133,2.5159851383055076,0.21174678624420604,0.0,0.0,0.026896794434501818,0.008829700558933297,,,,,-3.981644549175245,1.0,-0.5125814280240133,-1.0251628560480266,,,,,,,,0.0,,,,,,4.29613025011798,
SNP,2019-08-26,0.8999446678834226,0.27292277453401276,0.1532484907545814,1644.3496238264006,,,,,1.0,-0.46483864950568926,-0.28607846794752223,0.0,1.0,0.0,0.0,-0.0037731361888126225,0.0,1.0,-0.28607846794752223,0.5241721899668191,1.3221789420721761,0.08534944877111358,0.1572755187147337,-0.9961030526087897,0.5074435622444747,2.522413373658515,0.22197225864329584,0.0,0.0,0.02674802670312235,0.00881335127092986,,,,,4.259963937076416,1.0,0.5074435622444747,1.0148871244889495,,,,,,,,0.0,,,,,,-5.649277688603531,
SNP,2019-06-30,0.8999466896543902,0.4158140993235201,0.1703025032202965,36.93131226547945,,,,,0.12415922469364728,0.030770845542250874,0.02769201165058734,0.0,-0.2125710675931775,0.0,0.0,0.0211673039901946,0.0,0.8553081357433175,0.032376649412461406,0.5198984169467298,1.2980854113470466,0.27371062591778067,39702000000.0382,-5.775633573587512,0.1202078363682712,2.4968058548253897,9.883212309820193,0.0,0.0,0.7706655162418858,0.4346515305889688,21.431372549019606,0.0,98.39771936729215,,0.047800645505514786,0.0,0.1202078363682712,0.9486321745428212,-0.882020658489348,,,0.16002097789252864,0.16002097789252864,0.14745209002090456,,,3.0847301006404395,3.0847301006404395,,0.14745209002090456,,,0.16002097789252864
SNP,2019-04-29,0.9366039846839146,0.3148414534992808,0.1750509030514034,1826.452736318408,,,,,1.0,-0.16567164179104477,-0.34446517412935324,0.0,1.0,0.0,0.0,-0.004557842385383306,0.0,1.0,-0.34446517412935324,0.5210941932198393,1.2990972430065915,0.06591777637055636,0.12368266639666334,-1.287840037200651,0.00746636682842151,2.493018076020909,0.1998409226486379,0.0,0.0,0.02656182893389276,0.008978866161289026,0.00013410097431355183,0.00013410097431355183,0.017849424269264835,,0.047077114427860695,1.0,0.00746636682842151,0.01493273365684302,,,,557.6987005032331,557.6987005032331,24914.530472636816,,529228.071334214,529228.071334214,529228.071334214,,24914.530472636816,3.6842373921889425e-06,-150385.2394894895,557.6987005032331
SNP,2019-03-31,0.9366014062663977,0.4229091396855269,0.18971769726792523,40.86958146138255,,,,,0.13871272054771489,0.034615133145904746,0.03144877315225615,0.0,-0.24532224532224534,0.0,0.0,-0.0057051856181525714,0.0,-3.2510954092375908,-0.009673285214238346,0.5089286048330072,1.2361756072736525,0.2736471768604206,41457000000.015526,5.496141975308695,-0.044541680225329915,2.42897647240574,8.930847514180847,0.0,0.0,0.7558490885729212,0.40055446018699004,-7.658823529411765,0.0,95.21672513839647,,-0.018241596069603877,0.0,-0.044541680225329915,-0.8173010891390422,0.5988960441582337,,,0.19887223852927544,0.19887223852927544,0.2044039490767118,,,-11.20537634408602,-11.20537634408602,,0.2044039490767118,,,0.19887223852927544
SNP,2018-12-31,-2.6448412698412698,-1.5354662698412698,-1.4020337301587302,11.030783058083362,,,,,1.0,-0.2942366026289181,5.567351982923267,4.431917762049208,-0.2039451114922813,3.3506179131099505,,3.593676347945901,0.7960548885077187,1.0,5.567351982923267,31.246995370960207,,,,76.47376543209876,2.6680809177924107,,33.089219330855016,0.0,0.0,1.8568895379159278,0.7560198751433304,0.027845274119573465,0.027845274119573465,0.0010012424758478813,-0.8734299149524063,8.83125491517807,1.0,2.6680809177924107,5.3361618355848215,,,-0.8734299149524063,,,26783.700328614763,6043.365821894369,3032.8306210006745,3032.8306210006745,3032.8306210006745,473682.2398057596,26783.700328614763,-0.00014452706334408508,-91037.93513745704,
SNP,2018-10-30,0.9860849919346132,0.5384423248296277,0.368925780714943,803.8650448036178,,,,,1.0,-0.002554224939284817,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.48114881281724364,1.1075954186319856,,,0.0,,2.301980986187505,0.4540563149989543,0.0,0.0,0.07856877317305067,0.0287257331184296,,,,,0.39054518047064735,1.0,,,,,,,,,,0.0,,,,,,1876.5409836065573,
SNP,2018-09-30,0.9860858977197254,0.5125771524926943,0.25878351680401374,49.464699739827616,,,,,0.13613918337728537,0.03130033096759349,0.031025999539831154,0.0,-0.26440387906446094,0.0,0.0,0.03284563593486017,0.0,0.7172250139069183,0.04325839023770819,0.4755358203089068,1.0831515890324854,0.1249041570823749,14987000000.024399,-16.31770045386021,1.2259399228842258,2.2777497357168026,7.378999608201646,0.0,0.0,1.0617395307758077,0.4724835469924655,,,,,0.19514698854887524,0.0,1.2259399228842258,7.348631393475735,-2.849831997932282,-52.2510234668047,,,,,,,,,,,,,
