symbol,date,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
TOT,2018-12-31,-1.728667636029693,-1.728667636029693,-1.0678426570750745,42.89062925262642,0.0,42.89062925262642,-5812.864107251676,5855.754736504302,0.9888343040661913,0.0,0.0,0.0,,0.0,,0.0,,,0.0,-1.3933131666932017,,,,,,,8.510017371163867,-0.06279176551618582,,,2.339882184365547,,,,,0.1383974742801154,0.3128810226155359,,,1.4553520320549513,,,,,,,0.0,,,,,,-2.4436952714535902,
TOT,2018-10-26,1.276573349901323,0.3691543015861414,0.3691543015861414,0.0,17400.690072639227,17400.690072639227,24834.14043583535,-24834.14043583535,0.9888625208996279,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.2361899604883537,,,,,2.2361899604883537,,0.014697508896797154,0.020976179592665956,0.3220712896053363,0.14030162465664278,,,,,-0.1342430289628391,0.418039373242266,,,1.7183293061788056,,,,,,,0.0,,,,,,5.705377315860822,
TOT,2018-09-30,1.276573349901323,0.7323148892624808,0.38703311161464804,150.90185950413223,,,,,0.25648760330578513,0.10975206611570248,0.13072314049586778,0.0,-0.3540382487750909,0.0,0.0,0.029489646638106874,0.0,1.125,0.11619834710743801,0.5344826255422281,1.1717529802949413,0.25795920417375584,,-11.991471215351812,,2.1923125735026607,2.418790604697651,0.0,0.0,0.42037242912729295,0.18678892851078283,5.373710355368742,0.0,11.49560565533053,,0.29055785123966943,0.0,,,-1.1223463687150839,-1.4465130631557293,,1.389173470510098,1.389173470510098,3.392367355371901,,,11.675359453886085,11.675359453886085,,3.392367355371901,0.017102077354255035,,1.389173470510098
TOT,2018-07-27,1.3472458878110503,0.7330071699704765,0.44664698439477013,179.6737428223421,17573.50785340314,17753.181596225484,23907.5,-23727.826257177658,0.9889217562786381,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,2.1360881542699723,2.0314598798161896,0.015267175572519083,0.020769899956502826,0.3023490315396284,0.13683061844011032,,,,,0.13456296038512847,0.2838362068965517,,,1.396328618718026,,,,,,,0.0,,,,,,-9.035836177474403,
TOT,2018-06-30,1.3472458878110503,0.28636018557570647,0.0,134.3870114094833,,,,,0.25228840397379726,0.09884603704828424,0.12409439937529824,0.0,-0.3647963642719804,0.0,0.0,0.0,0.0,,0.0,0.5124302672548002,1.0713625768171222,0.2453801723200522,,,,2.090748039838949,2.7160362907976907,0.0,0.0,0.40423684971985235,0.18690808251167618,3.1733993902439024,0.0,0.0,,0.18062123118302895,0.0,,,-0.9072782741337982,,,1.3489773257045983,1.3489773257045983,3.4520324497852584,,,19.111997117809533,19.111997117809533,,3.4520324497852584,,,1.3489773257045983
TOT,2018-04-27,1.4119278062893947,0.82433782247787,0.5182378672545035,179.74427174244312,18149.6783625731,18329.422634315542,26506.25730994152,-26326.51303819908,0.9905244784307207,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.12082154026422,,,,,2.12082154026422,2.0306627658377403,0.013770333387018843,0.020110549217923088,0.3106618121723862,0.1404309459333271,,,,,0.1302468622724628,0.4303339714954265,,,1.7554144884241971,,,,,,,0.0,,,,,,-6.457510729613734,
TOT,2017-12-31,,,,0.0,0.0,0.0,0.0,0.0,0.9894964789332787,0.0,0.0,0.0,,0.0,,,,,0.0,-2.1394271272114573,,,,,,,,,,,0.009881550126368998,,,,,0.14987126366225043,0.4514477501564367,,,1.822980400290366,,,,,,,0.0,,,,,,-72.55520504731861,
TOT,2017-10-27,1.4677762039660056,0.8325661000944287,0.562303273528486,43985.70175438597,770097.8571428572,814083.5588972431,1099797.142857143,-1055811.441102757,0.9385964912280702,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.153969453830111,,,,,2.153969453830111,0.008298151113699229,0.0003318793855490233,0.000473965739048006,0.0010044849371315787,0.0004820132934192501,,,,,16.29824561403509,0.9838536060279871,,,61.93333333333333,,,,,,,0.0,,,,,,446.609375,
TOT,2017-07-28,1.4672787847538968,0.8258239796930155,0.5695474556776267,1126.019336357126,2604822.5,2605948.5193363572,3999305.0,-3998178.9806636428,0.9995225590833134,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.1821939023024965,,,,,2.1821939023024965,0.324150738992494,9.126585744273067e-05,0.00014012471099278357,0.037183003577166494,0.017908980141510444,,,,,0.2389591788016233,1.051948051948052,,,-19.25,,,,,,,0.0,,,,,,-45.87859424920128,
TOT,2017-04-28,1.4336857798615061,0.7799792063087274,0.53996900562999,162.2620085749582,20717.897727272728,20880.159735847687,29909.261363636364,-29746.999355061405,0.9904076738609112,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,2.224855775250166,,,,,2.224855775250166,2.2494483040457705,0.012203577867147413,0.01761761761761762,0.24772277227722772,0.11913821539420542,,,,,0.0683453237410072,-1.20414673046252,,,0.45369030390738063,,,,,,,0.0,,,,,,-10.064351005484461,
