averageInventory,averagePayables,averageReceivables,bookValuePerShare,capexPerShare,capexToDepreciation,capexToOperatingCashFlow,capexToRevenue,cashPerShare,currentRatio,date,daysOfInventoryOnHand,daysPayablesOutstanding,daysSalesOutstanding,debtToAssets,debtToEquity,dividendYield,earningsYield,enterpriseValue,enterpriseValueOverEBITDA,evToFreeCashFlow,evToOperatingCashFlow,evToSales,freeCashFlowPerShare,freeCashFlowYield,grahamNetNet,grahamNumber,incomeQuality,intangiblesToTotalAssets,interestCoverage,interestDebtPerShare,inventoryTurnover,investedCapital,marketCap,netCurrentAssetValue,netDebtToEBITDA,netIncomePerShare,operatingCashFlowPerShare,payablesTurnover,payoutRatio,pbRatio,peRatio,pfcfRatio,pocfratio,priceToSalesRatio,ptbRatio,receivablesTurnover,researchAndDdevelopementToRevenue,returnOnTangibleAssets,revenuePerShare,roe,roic,salesGeneralAndAdministrativeToRevenue,shareholdersEquityPerShare,stockBasedCompensationToRevenue,symbol,tangibleAssetValue,tangibleBookValuePerShare,workingCapital
2728000000,31004500000,27937500000,5.138034865293186,-0.0809825673534073,-1.0489236790606653,-11.090998043052837,-28.177103718199607,0.5577258320126783,1.4942996894121148,2013-12-28,5.342396777442095,74.49144008056395,39.37597666423586,0.4240976268296149,0.7364054162425588,0.0054844593763798,0.02589124339762974,507765121360.0,25.468481785624718,24.617721388538737,22.398108573445082,8.816285053304163,0.8171949286846276,0.04085318132799197,-1.37993264659271,7.7377755298123985,1.7342411260709913,0.027208860309791104,210.82142857142858,0.6753169572107766,16.84637134778511,,504881121360.0,-15153000000,0.1446556653458394,0.5179080824088748,0.8981774960380349,1.2081925104772204,0.21182680538555693,3.893164317571944,38.62309679926561,24.477897864830798,22.270891987648874,8.766210392749246,3.893164317571944,2.2856575918723707,0.023092683265617947,0.059673966136667624,2.2818541996830426,0.10079886493322229,0.10331067876206866,0.0,5.138034865293186,0.011824148348786333,AAPL,123557000000.0,8.678961965134707,26578000000
2549000000,27394000000,25659000000,4.853433375235701,-0.09058768070395977,-0.7732003469210754,-4.29661751951431,-16.249783174327842,0.5601429918290384,1.6786385084062485,2013-09-28,6.726833608745392,85.29426719206813,49.575416310845426,0.4031449275362319,0.6754486074351067,0.006309116224900667,0.01711595560904796,441589728832.0,36.60999244171779,58.08862520810313,44.569007754541786,11.784525214346711,0.2986329352608422,0.01732101897497106,-1.042671668761785,5.67673346560335,1.3189563365282215,0.027806763285024155,74.58088235294117,0.6715901948460088,13.379251700680273,,438888728832.0,-10165000000,0.22392638036809817,0.29509742300439973,0.389220615964802,1.0551705637769928,0.3686102236421725,3.5523454567175774,58.425017150159746,57.73332397158642,44.29639976100121,11.71244472758326,3.5523454567175774,1.8154159197713289,0.03116994022203245,0.037327820953668184,1.4720301697045883,0.060801787145181266,0.06209670507279206,0.0,4.853433375235701,0.014811058923996584,AAPL,117793000000.0,7.905562539283469,29628000000
2515500000,23968500000,22065000000,4.766383307573416,-0.07789799072642968,-0.8402777777777778,-3.882936507936508,-17.521329365079364,0.4346213292117465,1.8783281478014262,2013-06-29,6.849186062155254,62.62343602852146,34.27709990657645,0.38278560563605796,0.6201825640027887,0.007669702989904257,0.018826378737224963,372217021680.0,32.65634512019653,64.04284612525808,47.54944068472151,10.537525739036887,0.22457496136012364,0.015857813510253838,-0.8870846213292117,5.347221210272763,1.1344927536231884,0.02939616523897206,35.07434944237918,0.6656491499227203,13.140247495580436,,366507021680.0,-8283000000,0.500965081593262,0.26661514683153015,0.30247295208655334,1.4371616395978344,0.4073913043478261,2.971180680642703,53.116959663768114,63.0603960220234,46.82000787940725,10.37587469014523,2.971180680642703,2.625659704155207,0.033349375760835714,0.035570494017455316,1.3648763523956724,0.05593657279050537,0.057693366027259885,0.0,4.766383307573416,0.016363276052430428,AAPL,117479000000.0,7.495401854714065,31900000000
2289500000,23666500000,22006500000,5.115146481425551,-0.08679401993355482,-0.7359721618094824,-5.438886472379296,-18.966072205306656,0.4550362428269405,1.7837388757463106,2013-03-30,4.111323108534528,49.24341381081676,27.526546338554684,0.3042625408872206,0.4373237877334121,0.006139265669069194,0.023529333337054835,393695852432.0,26.32184612101357,38.578721453405194,31.485592804862446,9.029100117698324,0.38526880096647537,0.025151026155299527,-0.3583320749018423,6.440642210665456,1.3097308054886352,0.02842720919365523,35.84722222222222,0.01359106010268801,21.890763052208836,,405748852432.0,4084000000,-0.8058434177976868,0.36042736333434006,0.4720628209000302,1.8276555793991416,0.2609196606263748,2.994677484921396,42.50014166041689,39.759809155512,32.44952434676903,9.30552605169369,2.994677484921396,3.2695710857828435,0.025663371786344976,0.050457964028815,1.6461416490486258,0.07046276477968853,0.08104374038370961,0.0,5.115146481425551,0.01318716602068665,AAPL,129954000000.0,7.143121413470251,27829000000
2394500000,29409500000,26105500000,4.801161212486805,-0.09255768360729905,-0.6468431771894094,-9.542158859470469,-22.20448065173116,0.6090333283064394,1.543292305723245,2012-12-29,3.914564151620232,71.02176252540954,35.552905782213095,0.3505670923258945,0.5398049408697564,0.005164406440728121,0.027091900293558915,466573304408.0,23.70678849692597,22.24850052014687,19.91690021377956,8.559093491488113,0.7906424370381542,0.04344274667810247,-0.4540793243854622,7.2981966353578125,1.7912524850894633,0.029797845865121783,41.97624703087886,0.015872417433267984,22.99106529209622,,482727304408.0,3606000000,-0.8207916264417459,0.4930628864424672,0.8832001206454532,1.2672172134252595,0.19062547790181986,3.7906750460006595,36.91140116286894,23.01880236555243,20.606475898915736,8.855431912386265,3.7906750460006595,2.531438655149995,0.018528030525388907,0.06874293673946753,2.055195294827326,0.10269659039153173,0.11843789583738247,0.0,4.801161212486805,0.009997798649838567,AAPL,121503000000.0,7.172560699743628,25469000000
2062500000,26798000000,24684500000,4.452689468133193,-0.13187434081663402,-0.2802056555269923,-2.609540131391031,-10.273064838617538,0.4047762543317764,1.4958486845519174,2012-09-29,3.301182471597496,88.37236262462324,46.77417561029862,0.32859641948382406,0.48941713898993316,0.003933558736543225,0.013000664586251985,621760126548.0,52.363157027791814,110.33897542999112,68.05605588309983,17.28744165456264,0.21225704384511074,0.00890900461431715,-0.53904248907639,5.570596524676579,1.1110300376991367,0.030437795347146492,,0.0,27.262958280657397,,632506126548.0,-201000000,-0.9050025265285497,0.30974084676811814,0.34413138466174475,1.018417945690673,0.3025659734889943,5.350698981033753,76.9191446610726,112.24598519041703,69.2322818025394,17.586223837735638,5.350698981033753,1.9241386689492832,0.025190457654451427,0.04817082100700038,1.3547536537592286,0.0695626427544201,0.0792091447186632,0.0,4.452689468133193,0.012456208641494744,AAPL,112851000000.0,6.430051227964442,19111000000
2228000000,24614500000,22487500000,4.214285714285714,-0.11174385276813999,-0.28180897738778266,-3.438744515693554,-11.820114748565643,0.29963041182682154,1.5711736237144585,2012-06-30,5.041689550152279,75.52648659443807,36.742140878851046,0.3140040271093213,0.45773450503821167,,0.01595521535122023,545103003788.0,42.935019201953374,75.43634151508442,53.49916613877711,15.564143670959083,0.27251470810076933,0.013065773586572684,-0.46053326293558605,5.617356561547812,1.1546917497733453,0.03352445732246341,,0.0,17.851158645276293,,553048003788.0,793000000,-0.6257876496534341,0.3327802081761955,0.38425856086890936,1.1916349357448834,0.0,4.949152576271186,62.675431072982775,76.53584331414338,54.278928627735795,15.790994597493077,4.949152576271186,2.4495034270527345,0.025012134882791307,0.05604852796392162,1.3208251621662392,0.07896479516045317,0.09135370775439786,0.0,4.214285714285714,0.012791594095308797,AAPL,106285000000.0,5.937358575954141,18883000000
2218000000,24716000000,22223000000,3.8742818264287875,-0.05703810099788328,-0.49039098740888004,-9.262425447316103,-25.968190854870777,0.3825597218022377,1.5829691596953428,2012-03-31,4.809426825720105,74.24061681699156,31.623794212218648,0.3209084765526654,0.4725555620597475,,0.020515840463655875,556368100000.0,34.19174655850541,44.62368463265961,39.80597410030765,14.19813453784515,0.4712730571514968,0.022009249604273057,-0.34095290293317204,6.188212351904361,1.2026329375322664,0.031437581989478845,,0.0,18.713248638838476,,566489100000.0,2276000000,-0.6219886922320551,0.43929543392803144,0.5283111581493801,1.2122744106754453,0.0,5.526830767429608,48.74282395456893,45.4354427333975,40.530092294483794,14.45641555657633,5.526830767429608,2.845958312150483,0.021461746542132395,0.0794998255682712,1.4811762927124281,0.11338757829421062,0.13063297952867164,0.0,3.8742818264287875,0.010820190884499566,AAPL,97753000000.0,5.525740852736619,18676000000
2285000000,25321000000,23580500000,3.415794264906691,-0.054202700652404796,-0.5045486354093772,-12.28411476557033,-32.423372988103566,0.3910635715369443,1.5826566879533042,2011-12-31,4.340226297307842,63.98322278579789,32.01951093173332,0.3506392368096567,0.5399760143913652,,0.03425846251008944,371026436104.0,20.136027141213503,23.009391386294574,21.136290082260455,8.007822418233225,0.6116294947655895,0.04228549509914208,-0.2082385070550751,6.171198926076056,1.343692590324556,0.031496744326908514,76.65350877192982,0.00864815657715066,20.736245954692556,,381336436104.0,6144000000,-0.5595354390535113,0.4955241996662115,0.6658321954179942,1.4066187366225784,0.0,4.234530793790393,29.189868042253522,23.648771231255814,21.723620605218183,8.23034200470507,4.234530793790393,2.8107862169376365,0.016359829926834005,0.097265342893093,1.7574343802154453,0.14506851444688743,0.16792858927301726,0.0,3.415794264906691,0.009064813415923856,AAPL,85686000000.0,5.094560764679108,20164000000
2055000000,23526500000,21197000000,2.912232020678121,-0.17374942983123004,-0.11879238678626121,-2.281557646029315,-6.184642310216582,0.37308043180781514,1.6084376117268502,2011-09-24,4.134991119005329,77.96802841918296,37.302087018040325,0.34163150613125265,0.5189062194087319,,0.017434971161051124,370053709780.0,39.645779920719946,63.170657183339024,35.48314409627002,13.089979122037496,0.22266991029344685,0.015421117478701117,-0.17592557396989508,4.061511678550157,1.5746640495243847,0.038085089927903,,0.0,21.765463917525775,,379868709780.0,5232000000,-1.051532033426184,0.2517485175611981,0.3964193401246769,1.154319300164024,0.0,4.9581506203745995,57.35598818964216,64.84614369750769,36.424269803432736,13.437166953661123,4.9581506203745995,2.412733634889477,0.02281570569508313,0.0591661529940414,1.0745780751102327,0.08644521307837891,0.09944457641881879,0.0,2.912232020678121,0.010541209762999645,AAPL,72183000000.0,4.254941462672951,17018000000
