symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
AX-UN.TO,Artis Real Estate Investment Trust,1176148610,Real Estate,REIT Diversified,1.13816,8.68,0.54,290717,Toronto,TSX
CNL.TO,Continental Gold Inc.,1175716350,Basic Materials,Gold,1.504615,5.49,0.0,502249,Toronto,TSX
XIN.TO,iShares MSCI EAFE Index ETF (CAD-Hedged),1171504000,,,0.0,24.82,0.5940000000000001,20480,Toronto,TSX
MRC.TO,Morguard Corp,1165610240,Real Estate,Real Estate Diversified,1.11822,104.48,0.6,4466,Toronto,TSX
VDY.TO,Vanguard FTSE Canadian High Dividend Yield Index ETF,1160928900,,,0.0,29.585,1.5722970000000003,58111,Toronto,TSX
LB.TO,Laurentian Bank of Canada,1151783300,Financial Services,Banks Regional,0.95325,26.71,2.66,257732,Toronto,TSX
UNC.TO,United Corporations Ltd,1144583940,Financial Services,Asset Management,0.67646,94.5,1.2,751,Toronto,TSX
EIT-UN.TO,Canoe EIT Income Fund,1111651330,Financial Services,Asset Management,1.30832,9.31,1.2,179640,Toronto,TSX
SII.TO,Sprott Inc,1100620800,Financial Services,Asset Management,1.40918,44.92,1.16625,107140,Toronto,TSX
FSZ.TO,Fiera Capital Corp,1089209340,Financial Services,Asset Management,1.86708,10.52,0.84,134238,Toronto,TSX
EIF.TO,Exchange Income Corp,1085909380,Industrials,Airlines,2.65818,31.1,2.455,122685,Toronto,TSX
WIR-U.TO,WPT Industrial Real Estate Investment Trust,1083230850,Real Estate,REIT Industrial,0.0,13.01,0.6330000000000001,82753,Toronto,TSX
MTY.TO,MTY Food Group Inc,1069544380,Consumer Cyclical,Restaurants,1.96875,43.29,0.515,218082,Toronto,TSX
LAS-A.TO,Lassonde Industries Inc,1053895040,Consumer Defensive,Beverages Non-Alcoholic,-0.11033,152.0,2.435,2348,Toronto,TSX
TC.TO,Tucows Inc,1049853310,Technology,Software Infrastructure,0.91348,98.6,0.0,2053,Toronto,TSX
GSY.TO,goeasy Ltd,1046606590,Financial Services,Credit Services,1.9374,70.17,1.52,90424,Toronto,TSX
WCP.TO,Whitecap Resources Inc,1044943300,Energy,Oil & Gas E&P,3.30481,2.56,0.32775,2576251,Toronto,TSX
CYB.TO,Cymbria Corp,1035557250,Financial Services,Asset Management,0.65778,45.5,0.0,7180,Toronto,TSX
D-UN.TO,Dream Office Real Estate Investment Trust,1035261310,Real Estate,REIT Office,0.86128,18.74,0.99996,203360,Toronto,TSX
XRE.TO,iShares S&amp;P/TSX Capped REIT Index ETF,1027395010,,,0.0,14.45,0.9310000000000003,237027,Toronto,TSX
NFI.TO,NFI Group Inc,990736000,Consumer Cyclical,Auto Manufacturers,1.55081,15.85,1.25058,283312,Toronto,TSX
IFP.TO,Interfor Corp,981996030,Basic Materials,Lumber & Wood Production,2.78894,14.6,0.0,377827,Toronto,TSX
NHC,National Healthcare Corp,976429890,Healthcare,Medical Care Facilities,0.26933,63.58,2.6,36846,NYSE American,AMEX
SRCI,SRC Energy Inc.,974272000,Energy,Oil & Gas Services,1.607082,4.0,0.0,4885472,NYSE American,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,970968320,Financial Services,Asset Management,0.512647,3.92,0.3360000000000001,769464,NYSE American,AMEX
RPI-UN.TO,Richards Packaging Income Fund,958817340,Consumer Cyclical,Packaging & Containers,0.94705,85.38,1.32,6421,Toronto,TSX
CCF,Chase Corp,949553860,Basic Materials,Specialty Chemicals,0.61282,100.56,0.8,17846,NYSE American,AMEX
WTE.TO,Westshore Terminals Investment Corp,944875260,Industrials,Marine Shipping,0.97713,14.27,0.64,207232,Toronto,TSX
EIM,Eaton Vance Municipal Bond Fund,938269700,Financial Services,Asset Management,0.07424,13.04,0.529,129465,NYSE American,AMEX
XFN.TO,iShares S&amp;P/TSX Capped Financials Index ETF,927927040,,,0.0,33.99,1.208,486291,Toronto,TSX
MTL.TO,Mullen Group Ltd,923076610,Energy,Oil & Gas Equipment & Services,2.12596,9.36,0.53,327261,Toronto,TSX
ITP.TO,Intertape Polymer Group Inc,920551360,Consumer Cyclical,Packaging & Containers,1.57518,15.6,0.77355,178943,Toronto,TSX
SOY.TO,Sunopta Inc,918170880,Consumer Defensive,Packaged Foods,2.00131,10.27,0.0,76816,Toronto,TSX
ET.TO,Evertz Technologies Ltd,909747840,Technology,Communication Equipment,0.62269,11.9,0.72,20456,Toronto,TSX
DRM.TO,DREAM Unlimited Corp,904915970,Real Estate,Real Estate Development,0.70666,19.1,0.22,82767,Toronto,TSX
SBB.TO,Sabina Gold & Silver Corp,876270210,Basic Materials,Gold,1.58592,2.69,0.0,901225,Toronto,TSX
ORL.TO,Orocobre Ltd,873673220,Basic Materials,Other Industrial Metals & Mining,1.20834,2.51,0.0,47496,Toronto,TSX
CPG.TO,Crescent Point Energy Corp,868765380,Energy,Oil & Gas E&P,3.34428,1.64,0.04,3083987,Toronto,TSX
RLD.TO,RBC Strategic Global Dividend Leaders ETF,867351300,,,0.0,24.22,0.7989999999999999,779,Toronto,TSX
MRE.TO,Martinrea International Inc,854427970,Consumer Cyclical,Auto Parts,2.07873,10.67,0.185,210838,Toronto,TSX
ARE.TO,Aecon Group Inc,851441020,Industrials,Engineering & Construction,0.91295,14.22,0.595,267929,Toronto,TSX
GDI.TO,GDI Integrated Facility Services Inc,851287490,Industrials,Specialty Business Services,0.70381,37.5,0.0,13148,Toronto,TSX
PLC.TO,Park Lawn Corp,850880960,Consumer Cyclical,Personal Services,1.57842,28.84,0.456,80854,Toronto,TSX
ZWU.TO,BMO Covered Call Utilities ETF,847396610,,,0.0,12.07,0.9299999999999998,121437,Toronto,TSX
CLM,Cornerstone Strategic Value Fund Inc,846781060,Financial Services,Asset Management,1.20425,10.93,2.5053000000000005,626581,NYSE American,AMEX
TMP,Tompkins Financial Corp,845225540,Financial Services,Banks Regional,0.6554,56.66,2.06,40737,NYSE American,AMEX
NXE.TO,Nexgen Energy Ltd,828885250,Energy,Uranium,1.90783,2.2,0.0,663479,Toronto,TSX
ZZZ.TO,Sleep Country Canada Holdings Inc,812971710,Consumer Cyclical,Specialty Retail,1.94333,22.17,0.585,95911,Toronto,TSX
EXN.TO,Excellon Resources Inc,812479490,Basic Materials,Other Industrial Metals & Mining,1.54598,5.15,0.0,388004,Toronto,TSX
BBD-B.TO,Bombardier Inc,810094980,Industrials,Aerospace & Defense,2.32317,0.325,0.23228,5128504,Toronto,TSX
AR.TO,Argonaut Gold Inc,790954180,Basic Materials,Gold,1.43271,2.7,0.0,1532961,Toronto,TSX
