symbol,name,price,exchange
MIK,Michaels Companies Inc,9.65,Nasdaq Global Select
DVN,Devon Energy Corp,8.97,New York Stock Exchange
BKLN,PowerShares Exchange-Traded Fund Trust,21.77,NYSE Arca
IBN,ICICI Bank Limited,11.38,New York Stock Exchange
MPC,Marathon Petroleum Corp,29.24,New York Stock Exchange
EZU,iShares MSCI Eurozone,39.27,BATS Exchange
PM,Philip Morris International Inc,73.33,New York Stock Exchange
MSCI,MSCI Inc,358.57,New York Stock Exchange
RDN,Radian Group Inc,17.68,New York Stock Exchange
KO,Coca-Cola Co,50.25,New York Stock Exchange
AABA,Altaba Inc.,19.63,Nasdaq Global Select
SRC,Spirit Realty Capital Inc,32.62,New York Stock Exchange
NFX,Newfield Exploration Company,17.03,New York Stock Exchange
COP,ConocoPhillips,32.58,New York Stock Exchange
CHK,Chesapeake Energy Corporation,11.85,New York Stock Exchange
DIS,Walt Disney Co,124.95,New York Stock Exchange
LEN,Lennar Corp,83.29,New York Stock Exchange
CVX,Chevron Corp,71.68,New York Stock Exchange
PYPL,PayPal Holdings Inc,201.96,Nasdaq Global Select
GDXJ,VanEck Vectors Junior Gold Miners,57.34,NYSE Arca
CTRP,Ctrip.com International Ltd.,35.97,Nasdaq Global Select
AUY,Yamana Gold Inc,5.81,New York Stock Exchange
DBEF,Xtrackers MSCI EAFE Hedged Equity,30.94,NYSE Arca
WMT,Walmart Inc,143.9,New York Stock Exchange
CLF,Cleveland-Cliffs Inc,7.78,New York Stock Exchange
MRK,Merck & Co Inc,78.27,New York Stock Exchange
MDLZ,Mondelez International Inc,56.98,Nasdaq Global Select
RSPP,RSP Permian Inc.,47.93,New York Stock Exchange
GG,Goldcorp Inc.,11.22,New York Stock Exchange
MGM,MGM Resorts International,21.41,New York Stock Exchange
GFI,Gold Fields Limited American Depositary Shares,12.32,New York Stock Exchange
KGC,Kinross Gold Corp,8.98,New York Stock Exchange
SCHW,Charles Schwab Corp,39.13,New York Stock Exchange
NBR,Nabors Industries Ltd,28.16,New York Stock Exchange
SRCI,SRC Energy Inc.,4.0,NYSE American
JAG,Jagged Peak Energy Inc.,8.23,New York Stock Exchange
NVDA,NVIDIA Corp,545.82,Nasdaq Global Select
JNJ,Johnson & Johnson,144.55,New York Stock Exchange
WDC,Western Digital Corp,41.41,Nasdaq Global Select
BSX,Boston Scientific Corp,37.54,New York Stock Exchange
STI,SunTrust Banks Inc.,70.13,New York Stock Exchange
ON,ON Semiconductor Corp,26.1,Nasdaq Global Select
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),4.31,New York Stock Exchange
BK,Bank of New York Mellon Corp,37.1,New York Stock Exchange
HMY,Harmony Gold Mining Company Limited,5.59,New York Stock Exchange
APA,Apache Corp,9.61,New York Stock Exchange
HOME,At Home Group Inc,21.18,New York Stock Exchange
NGD,New Gold Inc,2.17,NYSE American
KOS,Kosmos Energy Ltd,1.14,New York Stock Exchange
DAL,Delta Air Lines Inc,31.98,New York Stock Exchange
INFY,Infosys Limited American Depositary Shares,15.37,New York Stock Exchange
CCL,Carnival Corp,14.61,New York Stock Exchange
BHGE,Baker Hughes a GE company Class A,25.18,New York Stock Exchange
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,3.34,New York Stock Exchange
PBR,Petroleo Brasileiro S.A.- Petrobras,7.23,New York Stock Exchange
DISCA,Discovery Inc,20.25,Nasdaq Global Select
LPI,Laredo Petroleum Inc,8.82,New York Stock Exchange
ABT,Abbott Laboratories,108.36,New York Stock Exchange
FITB,Fifth Third Bancorp,23.75,Nasdaq Global Select
PTEN,Patterson-UTI Energy Inc,2.68,Nasdaq Global Select
USB,U.S. Bancorp,39.21,New York Stock Exchange
BA,Boeing Co,167.24,New York Stock Exchange
GGB,Gerdau S.A.,4.07,New York Stock Exchange
JBLU,JetBlue Airways Corp,12.3,Nasdaq Global Select
QEP,QEP Resources Inc,0.916,New York Stock Exchange
EBAY,eBay Inc,54.2,Nasdaq Global Select
HBAN,Huntington Bancshares Inc,9.88,Nasdaq Global Select
DB,Deutsche Bank AG,9.6,New York Stock Exchange
MRVL,Marvell Technology Group Ltd,41.62,Nasdaq Global Select
ABX,Barrick Gold Corporation,13.55,New York Stock Exchange
WBA,Walgreens Boots Alliance Inc,37.49,Nasdaq Global Select
CDNA,CareDx Inc,51.33,NASDAQ Global Market
ETP,Energy Transfer Partners L.P. representing limited partner interests,21.49,New York Stock Exchange
RSX,VanEck Vectors Russia,20.97,NYSE Arca
KNX,Knight-Swift Transportation Holdings Inc,39.59,New York Stock Exchange
KBH,KB Home,40.46,New York Stock Exchange
DISCK,Discovery Communications Inc.,18.32,Nasdaq Global Select
PGR,Progressive Corp,94.59,New York Stock Exchange
XLE,SPDR Select Sector Fund - Energy Select Sector,29.9,NYSE Arca
MO,Altria Group Inc,38.7,New York Stock Exchange
MDT,Medtronic PLC,109.15,New York Stock Exchange
RIG,Transocean Ltd,0.8216,New York Stock Exchange
BCS,Barclays PLC,5.37,New York Stock Exchange
CDEV,Centennial Resource Development Inc,0.6452,NASDAQ Capital Market
DNR,Denbury Resources Inc,0.241,New York Stock Exchange
EOG,EOG Resources Inc,36.28,New York Stock Exchange
XLP,SPDR Select Sector Fund - Consumer Staples,65.24,NYSE Arca
HPE,Hewlett Packard Enterprise Co,9.34,New York Stock Exchange
TXN,Texas Instruments Inc,150.83,Nasdaq Global Select
OAS,Oasis Petroleum Inc,0.155,New York Stock Exchange
OKE,ONEOK Inc,28.92,New York Stock Exchange
CVS,CVS Health Corp,59.43,New York Stock Exchange
SVXY,ProShares Short VIX Short Term Futures,36.54,NYSE Arca
HES,Hess Corp,37.85,New York Stock Exchange
GDDY,GoDaddy Inc,77.79,New York Stock Exchange
BX,Blackstone Group Inc,54.67,New York Stock Exchange
NLSN,Nielsen Holdings PLC,13.61,New York Stock Exchange
TS,Tenaris S.A. American Depositary Shares,10.5,New York Stock Exchange
BOX,Box Inc,16.09,New York Stock Exchange
OXY,Occidental Petroleum Corp,10.07,New York Stock Exchange
OCLR,Oclaro Inc.,8.27,Nasdaq Global Select
CVE,Cenovus Energy Inc,3.69,New York Stock Exchange
SYF,Synchrony Financial,27.61,New York Stock Exchange
IAU,ishares Gold Trust,18.22,NYSE Arca
MTG,MGIC Investment Corp,10.21,New York Stock Exchange
LUV,Southwest Airlines Co,40.16,New York Stock Exchange
FTI,TechnipFMC PLC,7.28,New York Stock Exchange
AA,Alcoa Corp,12.8,New York Stock Exchange
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),2.42,New York Stock Exchange
VTI,Vanguard Total Stock Market,175.62,NYSE Arca
EQR,Equity Residential,50.91,New York Stock Exchange
EWG,iShares MSCI Germany Index Fund,29.49,NYSE Arca
ESRX,Express Scripts Holding Company,92.48,Nasdaq Global Select
MDR,McDermott International Inc.,78.0,New York Stock Exchange
ETSY,ETSY Inc,144.79,Nasdaq Global Select
ANDV,Andeavor,152.35,New York Stock Exchange
TAL,TAL Education Group,80.32,New York Stock Exchange
UNH,UnitedHealth Group Inc,323.41,New York Stock Exchange
ECA,Encana Corporation,3.79,New York Stock Exchange
GES,Guess? Inc,12.74,New York Stock Exchange
AMZN,Amazon.com Inc,3217.01,Nasdaq Global Select
NFLX,Netflix Inc,525.42,Nasdaq Global Select
ENTG,Entegris Inc,80.62,Nasdaq Global Select
CSX,CSX Corp,80.13,Nasdaq Global Select
WYNN,Wynn Resorts Ltd,72.44,Nasdaq Global Select
FOX,Twenty-First Century Fox Inc.,26.18,Nasdaq Global Select
CNC,Centene Corp,65.56,New York Stock Exchange
ZION,Zions Bancorporation NA,30.52,Nasdaq Global Select
CLDR,Cloudera Inc,10.31,New York Stock Exchange
RES,RPC Inc,2.68,New York Stock Exchange
CI,Cigna Corp,171.09,New York Stock Exchange
KRE,SPDR S&P Regional Banking,40.05,NYSE Arca
WMB,Williams Companies Inc,19.69,New York Stock Exchange
SYNH,Syneos Health Inc,59.3,Nasdaq Global Select
HBI,HanesBrands Inc,17.11,New York Stock Exchange
BBT,BB&T Corporation,54.24,New York Stock Exchange
XL,XL Group Ltd.,57.59,New York Stock Exchange
PAYX,Paychex Inc,82.28,Nasdaq Global Select
CELG,Celgene Corporation,108.24,Nasdaq Global Select
D,Dominion Energy Inc,81.08,New York Stock Exchange
CHS,Chico's FAS Inc,1.17,New York Stock Exchange
CFG,Citizens Financial Group Inc,27.62,New York Stock Exchange
XLI,SPDR Select Sector Fund - Industrial,81.01,NYSE Arca
SU,Suncor Energy Inc,11.93,New York Stock Exchange
SLV,iShares Silver Trust,23.02,NYSE Arca
MMM,3M Co,170.95,New York Stock Exchange
BIIB,Biogen Inc,267.12,Nasdaq Global Select
JBL,Jabil Inc,35.56,New York Stock Exchange
ACN,Accenture PLC,230.39,New York Stock Exchange
NTR,Nutrien Ltd,40.53,New York Stock Exchange
PAH,Platform Specialty Products Corporation,11.26,New York Stock Exchange
BRFS,BRF S.A.,3.33,New York Stock Exchange
SBUX,Starbucks Corp,88.51,Nasdaq Global Select
EWU,iShares MSCI United Kingdom,25.57,NYSE Arca
PE,Parsley Energy Inc,10.62,New York Stock Exchange
LVS,Las Vegas Sands Corp,46.2,New York Stock Exchange
EGO,Eldorado Gold Corp,13.42,New York Stock Exchange
GSK,GlaxoSmithKline PLC,36.04,New York Stock Exchange
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,9.14,New York Stock Exchange
PAA,Plains All American Pipeline LP,6.6,New York Stock Exchange
SQQQ,ProShares UltraPro Short QQQ,21.69,NASDAQ Global Market
VLO,Valero Energy Corp,40.7,New York Stock Exchange
CSRA,CSRA Inc.,41.23,New York Stock Exchange
IMAX,Imax Corp,11.21,New York Stock Exchange
FNB,F.N.B. Corp,7.53,New York Stock Exchange
ADSK,Autodesk Inc,257.34,Nasdaq Global Select
HD,Home Depot Inc,286.04,New York Stock Exchange
