symbol,name,price,exchange
MMSI,Merit Medical Systems Inc,47.07,Nasdaq Global Select
SDOW,UltraPro Short Dow30,16.94,NYSE Arca
PTN,Palatin Technologies Inc,0.4208,NYSE American
FCB,FCB Financial Holdings Inc. Class A,33.62,New York Stock Exchange
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of),3.55,New York Stock Exchange
SPXC,SPX Corp,50.56,New York Stock Exchange
HEWG,iShares Currency Hedged MSCI Germany ETF,27.8676,NASDAQ Global Market
ARCH,Arch Resources Inc,37.9,New York Stock Exchange
AM,Antero Midstream Corp,6.5,New York Stock Exchange
TGI,Triumph Group Inc,7.25,New York Stock Exchange
AWK,American Water Works Company Inc,153.15,New York Stock Exchange
REDU,Rise Education Cayman Ltd,6.25,NASDAQ Global Market
DEPO,Depomed Inc.,7.3,Nasdaq Global Select
R,Ryder System Inc,50.31,New York Stock Exchange
SREV,ServiceSource International Inc,1.43,Nasdaq Global Select
OA,Orbital ATK Inc.,134.5,New York Stock Exchange
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,7.85,New York Stock Exchange
BKH,Black Hills Corp,57.09,New York Stock Exchange
AVD,American Vanguard Corp,14.25,New York Stock Exchange
CMCM,Cheetah Mobile Inc,2.03,New York Stock Exchange
UPLD,Upland Software Inc,43.97,NASDAQ Global Market
HYS,PIMCO 0-5 Year High Yield Corporat Bond Index Exchange-Traded Fund,94.86,NYSE Arca
GPN,Global Payments Inc,174.3,New York Stock Exchange
COLM,Columbia Sportswear Co,92.05,Nasdaq Global Select
GLUU,Glu Mobile Inc,7.65,Nasdaq Global Select
HE,Hawaiian Electric Industries Inc,34.05,New York Stock Exchange
SJI,South Jersey Industries Inc,19.87,New York Stock Exchange
DWT,VelocityShares 3x Inverse Crude Oil ETNs linked to the S&P GSCI Crude Oil Index ER,14.75,NYSE Arca
CCOI,Cogent Communications Holdings Inc,58.7,Nasdaq Global Select
SEDG,Solaredge Technologies Inc,309.8,Nasdaq Global Select
LLNW,Limelight Networks Inc,6.17,Nasdaq Global Select
PBYI,Puma Biotechnology Inc,9.45,Nasdaq Global Select
IRWD,Ironwood Pharmaceuticals Inc,9.52,Nasdaq Global Select
CSGS,CSG Systems International Inc,41.2,Nasdaq Global Select
FBM,Foundation Building Materials Inc,17.08,New York Stock Exchange
VAR,Varian Medical Systems Inc,171.8,New York Stock Exchange
CNSL,Consolidated Communications Holdings Inc,5.2,Nasdaq Global Select
SUPN,Supernus Pharmaceuticals Inc,19.985,NASDAQ Global Market
DPW,DPW Holdings Inc,2.02,NYSE American
UGI,UGI Corp,34.42,New York Stock Exchange
COLL,Collegium Pharmaceutical Inc,19.78,Nasdaq Global Select
SVU,SuperValu Inc.,32.5,New York Stock Exchange
DRNA,Dicerna Pharmaceuticals Inc,19.12,Nasdaq Global Select
BKCC,BlackRock Capital Investment Corp,2.58,Nasdaq Global Select
CBD,Companhia Brasileira de Distribuicao ADS,12.06,New York Stock Exchange
SMG,Scotts Miracle-Gro Co,162.02,New York Stock Exchange
PACB,Pacific Biosciences of California Inc,13.58,Nasdaq Global Select
AVDL,Avadel Pharmaceuticals PLC,5.17,NASDAQ Global Market
APHB,AmpliPhi Biosciences Corporation,0.31,NYSE American
PGX,PowerShares Preferred Portfolio,14.87,NYSE Arca
JNCE,Jounce Therapeutics Inc,9.7,Nasdaq Global Select
SLVO,Credit Suisse Silver Shares Covered Call Exchange Traded Notes,6.38,NASDAQ Global Market
WAT,Waters Corp,213.08,New York Stock Exchange
NLNK,NewLink Genetics Corporation,0.89,NASDAQ Global Market
MUB,iShares National Muni Bond,115.28,NYSE Arca
FLOW,SPX FLOW Inc,45.73,New York Stock Exchange
MKSI,MKS Instruments Inc,113.52,Nasdaq Global Select
CWT,California Water Service Group,46.16,New York Stock Exchange
RESI,Front Yard Residential Corp,13.37,New York Stock Exchange
NEAR,iShares Short Maturity Bond,50.12,BATS Exchange
MTB,M&T Bank Corp,99.42,New York Stock Exchange
CRL,Charles River Laboratories International Inc,233.53,New York Stock Exchange
AHGP,Alliance Holdings GP L.P.,28.37,Nasdaq Global Select
KEYW,The KEYW Holding Corporation,11.27,Nasdaq Global Select
CDK,CDK Global Inc,45.56,Nasdaq Global Select
FDS,Factset Research Systems Inc,333.3,New York Stock Exchange
JLL,Jones Lang LaSalle Inc,109.83,New York Stock Exchange
HSC,Harsco Corp,15.23,New York Stock Exchange
LNTH,Lantheus Holdings Inc,12.97,NASDAQ Global Market
SAIL,SailPoint Technologies Holdings Inc,45.41,New York Stock Exchange
OEF,iShares S&P 100,158.82,NYSE Arca
PNM,PNM Resources Inc,45.74,New York Stock Exchange
VSAR,Versartis Inc.,1.22,Nasdaq Global Select
AT,Atlantic Power Corp,2.03,New York Stock Exchange
PACW,PacWest Bancorp,18.7,Nasdaq Global Select
MXL,Maxlinear Inc,23.87,New York Stock Exchange
OLLI,Ollie's Bargain Outlet Holdings Inc,93.0,NASDAQ Global Market
SGYP,Synergy Pharmaceuticals Inc.,0.05,Nasdaq Global Select
LOCO,El Pollo Loco Holdings Inc,16.93,Nasdaq Global Select
RUSHA,Rush Enterprises Inc,36.165,Nasdaq Global Select
APPN,Appian Corp,81.9,NASDAQ Global Market
RHE,Regional Health Properties Inc,1.57,NYSE American
AVY,Avery Dennison Corp,134.34,New York Stock Exchange
EGLT,Egalet Corporation,0.33,NASDAQ Global Market
WMS,Advanced Drainage Systems Inc,69.92,New York Stock Exchange
MCFT,Mastercraft Boat Holdings Inc,20.53,NASDAQ Global Market
DHT,DHT Holdings Inc,5.1,New York Stock Exchange
AVA,Avista Corp,32.74,New York Stock Exchange
WLK,Westlake Chemical Corp,70.57,New York Stock Exchange
PSA,Public Storage,233.12,New York Stock Exchange
AAWW,Atlas Air Worldwide Holdings Inc,64.02,Nasdaq Global Select
WIX,Wix.Com Ltd,278.65,Nasdaq Global Select
USCR,US Concrete Inc,33.38,NASDAQ Capital Market
INO,Inovio Pharmaceuticals Inc,11.0,Nasdaq Global Select
NTB,Bank of N.T. Butterfield & Son Ltd,26.67,New York Stock Exchange
AAOI,Applied Optoelectronics Inc,10.86,NASDAQ Global Market
ERI,Eldorado Resorts Inc.,38.24,Nasdaq Global Select
FOSL,Fossil Group Inc,5.71,Nasdaq Global Select
STE,Steris plc,186.34,New York Stock Exchange
OSTK,Overstock.com Inc,71.42,NASDAQ Global Market
SCHE,Schwab Emerging Markets Equity,27.91,NYSE Arca
FOXF,Fox Factory Holding Corp,84.08,Nasdaq Global Select
MDGS,Medigus Ltd.,2.31,NASDAQ Capital Market
AZPN,Aspen Technology Inc,131.85,Nasdaq Global Select
DCI,Donaldson Company Inc,51.36,New York Stock Exchange
FTAI,Fortress Transportation and Infrastructure Investors LLC,16.75,New York Stock Exchange
DSS,Document Security Systems Inc,4.24,NYSE American
ONVO,Organovo Holdings Inc,8.32,NASDAQ Global Market
KERX,Keryx Biopharmaceuticals Inc.,3.35,NASDAQ Capital Market
AIZ,Assurant Inc,122.6,New York Stock Exchange
IRBT,iRobot Corp,96.0,Nasdaq Global Select
SBLK,Star Bulk Carriers Corp,7.04,Nasdaq Global Select
CWST,Casella Waste Systems Inc,60.1,Nasdaq Global Select
BURL,Burlington Stores Inc,200.85,New York Stock Exchange
LEG,Leggett & Platt Inc,44.26,New York Stock Exchange
COR,CoreSite Realty Corp,124.78,New York Stock Exchange
AAN,Aaron's Inc,58.49,New York Stock Exchange
SOI,Solaris Oilfield Infrastructure Inc,6.36,New York Stock Exchange
PRA,ProAssurance Corp,15.12,New York Stock Exchange
GPMT,Granite Point Mortgage Trust Inc,6.78,New York Stock Exchange
EDZ,Direxion Emerging Markets Bear 3X Shares,15.96,NYSE Arca
NBLX,Noble Midstream Partners LP,8.77,New York Stock Exchange
WMIH,WMIH Corp.,1.31,NASDAQ Capital Market
INT,World Fuel Services Corp,22.46,New York Stock Exchange
UMBF,UMB Financial Corp,56.86,Nasdaq Global Select
LPG,Dorian LPG Ltd,8.98,New York Stock Exchange
SOHU,Sohu.com Ltd,18.62,Nasdaq Global Select
IPHI,Inphi Corp,120.36,New York Stock Exchange
FGEN,FibroGen Inc,45.49,Nasdaq Global Select
BAP,Credicorp Ltd,120.48,New York Stock Exchange
BC,Brunswick Corp,65.12,New York Stock Exchange
FTR,Frontier Communications Corporation,0.26,Nasdaq Global Select
OCSL,Oaktree Specialty Lending Corp,4.81,Nasdaq Global Select
MBUU,Malibu Boats Inc,55.81,NASDAQ Global Market
ACHN,Achillion Pharmaceuticals Inc.,6.76,Nasdaq Global Select
HTLF,Heartland Financial USA Inc,33.64,Nasdaq Global Select
BLKB,Blackbaud Inc,58.24,Nasdaq Global Select
SNN,Smith & Nephew SNATS Inc.,38.52,New York Stock Exchange
CUBI,Customers Bancorp Inc,12.94,New York Stock Exchange
ENPH,Enphase Energy Inc,116.14,NASDAQ Global Market
CADE,Cadence Bancorp,10.99,New York Stock Exchange
AJRD,Aerojet Rocketdyne Holdings Inc,37.77,New York Stock Exchange
APAM,Artisan Partners Asset Management Inc,45.52,New York Stock Exchange
DXGE,WisdomTree Germany Hedged Equity Fund,28.79,NASDAQ Global Market
PEI,Pennsylvania Real Estate Investment Trust,0.561,New York Stock Exchange
HLIT,Harmonic Inc,6.35,Nasdaq Global Select
ST,Sensata Technologies Holding PLC,47.62,New York Stock Exchange
IPAR,Inter Parfums Inc,40.25,Nasdaq Global Select
CRTO,Criteo SA,12.91,Nasdaq Global Select
AKR,Acadia Realty Trust,9.94,New York Stock Exchange
CALI,China Auto Logistics Inc,2.39,NASDAQ Capital Market
MRTX,Mirati Therapeutics Inc,189.04,NASDAQ Capital Market
ZUMZ,Zumiez Inc,30.54,Nasdaq Global Select
OAK,Oaktree Capital Group LLC Class A Units Representing Limited Liability Company Interests,48.89,New York Stock Exchange
BRSS,Global Brass and Copper Holdings Inc.,43.59,New York Stock Exchange
CHKR,Chesapeake Granite Wash Trust,0.2493,New York Stock Exchange
MLI,Mueller Industries Inc,29.7,New York Stock Exchange
ROG,Rogers Corp,109.9,New York Stock Exchange
UMC,United Microelectronics Corporation (NEW),5.41,New York Stock Exchange
EWD,iShares Inc MSCI Sweden,36.59,NYSE Arca
QHC,Quorum Health Corporation,0.3044,New York Stock Exchange
TSS,Total System Services Inc.,124.87,New York Stock Exchange
BAND,Bandwidth Inc,171.47,Nasdaq Global Select
ABMD,ABIOMED Inc,277.53,Nasdaq Global Select
KEYS,Keysight Technologies Inc,105.45,New York Stock Exchange
HRC,Hill-Rom Holdings Inc,88.3,New York Stock Exchange
SSP,E. W. Scripps Co,10.27,New York Stock Exchange
FRT,Federal Realty Investment Trust,74.16,New York Stock Exchange
NDSN,Nordson Corp,208.74,Nasdaq Global Select
LOXO,Loxo Oncology Inc.,234.76,NASDAQ Global Market
ALSK,Alaska Communications Systems Group Inc,1.99,Nasdaq Global Select
ASC,Ardmore Shipping Corp,3.09,New York Stock Exchange
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,20.35,Nasdaq Global Select
STC,Stewart Information Services Corp,45.53,New York Stock Exchange
IRT,Independence Realty Trust Inc,11.67,New York Stock Exchange
FFBC,First Financial Bancorp,13.715,Nasdaq Global Select
DLTH,Duluth Holdings Inc,15.84,Nasdaq Global Select
LII,Lennox International Inc,284.03,New York Stock Exchange
SCHV,Schwab U.S. Large-Cap Value,53.58,NYSE Arca
OSG,Overseas Shipholding Group Inc,2.06,New York Stock Exchange
KTWO,K2M Group Holdings Inc.,27.5,Nasdaq Global Select
GOOS,Canada Goose Holdings Inc,35.89,New York Stock Exchange
MRT,MedEquities Realty Trust Inc.,11.04,New York Stock Exchange
AXTI,AXT Inc,6.31,Nasdaq Global Select
EGRX,Eagle Pharmaceuticals Inc,46.48,NASDAQ Global Market
BMO,Bank of Montreal,61.62,New York Stock Exchange
EVV,Eaton Vance Ltd Duration Income Fund,11.87,NYSE American
DBVT,DBV Technologies S.A.,1.58,Nasdaq Global Select
EPAM,Epam Systems Inc,345.66,New York Stock Exchange
GDEN,Golden Entertainment Inc,13.15,NASDAQ Global Market
PVH,PVH Corp,61.59,New York Stock Exchange
CRBP,Corbus Pharmaceuticals Holdings Inc,0.9796,NASDAQ Global Market
MTD,Mettler-Toledo International Inc,1030.61,New York Stock Exchange
BCRX,BioCryst Pharmaceuticals Inc,3.51,Nasdaq Global Select
ASNA,Ascena Retail Group Inc,0.6063,Nasdaq Global Select
TOWN,Towne Bank,18.18,Nasdaq Global Select
CBPO,China Biologic Products Holdings Inc,113.62,Nasdaq Global Select
FIVN,Five9 Inc,144.51,NASDAQ Global Market
EEV,ProShares UltraShort MSCI Emerging Markets,23.8002,NYSE Arca
EGHT,8x8 Inc,16.79,New York Stock Exchange
ESS,Essex Property Trust Inc,199.85,New York Stock Exchange
JKHY,Jack Henry & Associates Inc,159.25,Nasdaq Global Select
INGR,Ingredion Inc,76.92,New York Stock Exchange
HT,Hersha Hospitality Trust,5.09,New York Stock Exchange
EPAY,Bottomline Technologies (DE) Inc,42.13,Nasdaq Global Select
GTXI,GTx Inc.,1.28,NASDAQ Capital Market
BAS,Basic Energy Services Inc.,0.435,New York Stock Exchange
CPHI,China Pharma Holdings Inc,0.4647,NYSE American
EFAV,iShares Edge MSCI Min Vol EAFE,68.31,BATS Exchange
ADSW,Advanced Disposal Services Inc,30.25,New York Stock Exchange
WPC,WP Carey Inc,66.24,New York Stock Exchange
VRSK,Verisk Analytics Inc,190.36,Nasdaq Global Select
ICLR,ICON PLC,203.33,Nasdaq Global Select
AQMS,Aqua Metals Inc,1.03,NASDAQ Capital Market
AWR,American States Water Co,76.52,New York Stock Exchange
DRRX,DURECT Corp,1.87,NASDAQ Global Market
VRA,Vera Bradley Inc,7.29,Nasdaq Global Select
WLKP,Westlake Chemical Partners LP,19.13,New York Stock Exchange
SNHY,Sun Hydraulics Corporation,44.71,Nasdaq Global Select
BFAM,Bright Horizons Family Solutions Inc,163.25,New York Stock Exchange
IOVA,Iovance Biotherapeutics Inc,37.86,NASDAQ Global Market
TEN,Tenneco Inc,8.79,New York Stock Exchange
SUP,Superior Industries International Inc,1.5,New York Stock Exchange
LL,Lumber Liquidators Holdings Inc,26.45,New York Stock Exchange
BID,Sotheby's,26.12,New York Stock Exchange
TRXC,Transenterix Inc,0.4224,NYSE American
LEA,Lear Corp,131.7,New York Stock Exchange
APD,Air Products and Chemicals Inc,294.49,New York Stock Exchange
OSUR,OraSure Technologies Inc,14.77,Nasdaq Global Select
AVT,Avnet Inc,28.0,New York Stock Exchange
SXC,SunCoke Energy Inc,3.77,New York Stock Exchange
SPLV,PowerShares S&P 500 Low Volatility Portfolio,54.55,NYSE Arca
ATTO,Atento SA,8.69,New York Stock Exchange
DVY,iShares Select Dividend ETF,85.89,NASDAQ Global Market
NVCR,Novocure Ltd,131.94,Nasdaq Global Select
DAR,Darling Ingredients Inc,44.6,New York Stock Exchange
PCH,PotlatchDeltic Corp,46.82,Nasdaq Global Select
SAFM,Sanderson Farms Inc,118.16,Nasdaq Global Select
CRIS,Curis Inc,1.18,NASDAQ Global Market
RMBS,Rambus Inc,14.36,Nasdaq Global Select
PRTK,Paratek Pharmaceuticals Inc,4.86,NASDAQ Global Market
MLPI,UBS AG ETN,9.85,NYSE Arca
AJG,Arthur J Gallagher & Co,107.52,New York Stock Exchange
RGA,Reinsurance Group of America Inc,104.41,New York Stock Exchange
GMLP,Golar LNG Partners LP,2.07,Nasdaq Global Select
TAST,Carrols Restaurant Group Inc,6.59,Nasdaq Global Select
KB,KB Financial Group Inc,35.63,New York Stock Exchange
OTEX,Open Text Corp,41.29,Nasdaq Global Select
FHB,First Hawaiian Inc,15.74,Nasdaq Global Select
SANM,Sanmina Corp,26.54,Nasdaq Global Select
SNV,Synovus Financial Corp,24.76,New York Stock Exchange
EUFN,iShares MSCI Europe Financials Sector Index Fund,14.13,NASDAQ Global Market
MOD,Modine Manufacturing Co,7.18,New York Stock Exchange
MGI,MoneyGram International Inc,4.665,Nasdaq Global Select
WBC,Wabco Holdings Inc.,136.46,New York Stock Exchange
NSH,Nustar GP Holdings LLC Units,13.73,New York Stock Exchange
SNA,Snap-On Inc,154.93,New York Stock Exchange
ELGX,Endologix Inc.,0.22,Nasdaq Global Select
KOPN,Kopin Corp,1.34,Nasdaq Global Select
CLDT,Chatham Lodging Trust,7.61,New York Stock Exchange
AIMT,Aimmune Therapeutics Inc,34.49,Nasdaq Global Select
OSBC,Old Second Bancorp Inc,8.72,Nasdaq Global Select
BRKL,Brookline Bancorp Inc,9.45,Nasdaq Global Select
DEO,Diageo plc,136.9,New York Stock Exchange
UNFI,United Natural Foods Inc,18.24,Nasdaq Global Select
PFF,iShares U.S. Preferred Stock ETF,36.84,NASDAQ Global Market
ONDK,On Deck Capital Inc,1.83,New York Stock Exchange
SAH,Sonic Automotive Inc,40.2,New York Stock Exchange
NVTA,Invitae Corp,47.24,New York Stock Exchange
HZO,MarineMax Inc,30.39,New York Stock Exchange
TNK,Teekay Tankers Ltd,10.39,New York Stock Exchange
GSG,iShares GSCI Commodity-Indexed Trust Fund,11.09,NYSE Arca
SATS,EchoStar Corp,26.24,Nasdaq Global Select
KANG,iKang Healthcare Group Inc.,20.54,Nasdaq Global Select
SLGN,Silgan Holdings Inc,38.62,Nasdaq Global Select
IBKR,Interactive Brokers Group Inc,49.8,Nasdaq Global Select
VSM,Versum Materials Inc.,10.31,New York Stock Exchange
HMC,Honda Motor Company Ltd.,24.51,New York Stock Exchange
GPI,Group 1 Automotive Inc,128.74,New York Stock Exchange
VLP,Valero Energy Partners LP representing limited partner interests,42.24,New York Stock Exchange
CPA,Copa Holdings SA,52.07,New York Stock Exchange
ROCK,Gibraltar Industries Inc,67.46,Nasdaq Global Select
RNWK,RealNetworks Inc,1.52,Nasdaq Global Select
HOV,Hovnanian Enterprises Inc,34.37,New York Stock Exchange
ASTE,Astec Industries Inc,58.16,Nasdaq Global Select
BWP,Boardwalk Pipeline Partners LP,12.06,New York Stock Exchange
AVXS,AveXis Inc.,217.94,Nasdaq Global Select
ACET,Aceto Corporation,13.18,Nasdaq Global Select
CTLT,Catalent Inc,93.16,New York Stock Exchange
ROBO,ROBO Global Robotics and Automation Index ETF,50.67,NASDAQ Global Market
DMRC,Digimarc Corp,29.78,Nasdaq Global Select
CUTR,Cutera Inc,19.25,Nasdaq Global Select
UEPS,Net 1 UEPS Technologies Inc,3.1,Nasdaq Global Select
AMCX,AMC Networks Inc,23.14,Nasdaq Global Select
CALD,Callidus Software Inc.,35.93,NASDAQ Global Market
DXD,ProShares UltraShort Dow30,14.99,NYSE Arca
NMM,Navios Maritime Partners LP,6.29,New York Stock Exchange
SAIC,Science Applications International Corp,78.74,New York Stock Exchange
QLD,ProShares Ultra QQQ,95.53,NYSE Arca
DIOD,Diodes Inc,62.43,Nasdaq Global Select
RARE,Ultragenyx Pharmaceutical Inc,90.0,Nasdaq Global Select
CQH,Cheniere Energy Partners LP Holdings LLC,31.97,NYSE American
INOV,Inovalon Holdings Inc,26.365,Nasdaq Global Select
GOV,Government Properties Income Trust,6.89,Nasdaq Global Select
TPX,Tempur Sealy International Inc,91.74,New York Stock Exchange
CBM,Cambrex Corporation,59.99,New York Stock Exchange
MYOK,MyoKardia Inc,222.45,Nasdaq Global Select
BNFT,Benefitfocus Inc,11.06,NASDAQ Global Market
VVR,Invesco senior income trust,3.58,New York Stock Exchange
IYE,iShares U.S. Energy,16.04,NYSE Arca
PLYA,Playa Hotels & Resorts NV,3.9,Nasdaq Global Select
CSFL,CenterState Bank Corporation,18.14,Nasdaq Global Select
CFFN,Capitol Federal Financial Inc,11.29,Nasdaq Global Select
HSII,Heidrick & Struggles International Inc,21.77,Nasdaq Global Select
GDS,GDS Holdings Ltd,80.67,NASDAQ Global Market
UL,Unilever PLC,62.46,New York Stock Exchange
LOPE,Grand Canyon Education Inc,82.32,Nasdaq Global Select
FAC,First Acceptance Corporation,0.87,New York Stock Exchange
TCMD,Tactile Systems Technology Inc,36.08,NASDAQ Global Market
HVT,Haverty Furniture Companies Inc,23.73,New York Stock Exchange
EWQ,iShares MSCI France Index Fund,28.99,NYSE Arca
GOLD,Barrick Gold Corp,27.07,Nasdaq Global Select
RLI,Rli Corp,83.59,New York Stock Exchange
KEX,Kirby Corp,40.18,New York Stock Exchange
SPYG,SPDR Series Trust Portfolio S&P 500 Growth,51.31,NYSE Arca
SMTC,Semtech Corp,56.36,Nasdaq Global Select
OR,Osisko Gold Royalties Ltd,11.89,New York Stock Exchange
XNCR,Xencor Inc,39.89,NASDAQ Global Market
B,Barnes Group Inc,39.73,New York Stock Exchange
DIN,Dine Brands Global Inc,59.04,New York Stock Exchange
SCHN,Schnitzer Steel Industries Inc,21.49,Nasdaq Global Select
OMN,OMNOVA Solutions Inc.,10.14,New York Stock Exchange
NM,Navios Maritime Holdings Inc,1.67,New York Stock Exchange
HSON,Hudson Global Inc,10.1,Nasdaq Global Select
UBSI,United Bankshares Inc,24.54,Nasdaq Global Select
HEZU,iShares Currency Hedged MSCI Eurozone,28.58,NYSE Arca
FPRX,Five Prime Therapeutics Inc,5.68,Nasdaq Global Select
GVA,Granite Construction Inc,20.07,New York Stock Exchange
EVTC,Evertec Inc,35.78,New York Stock Exchange
IVW,iShares S&P 500 Growth,59.18,NYSE Arca
SMCI,Super Micro Computer Inc,26.515,Nasdaq Global Select
FLXN,Flexion Therapeutics Inc,12.19,NASDAQ Global Market
HDGE,Ranger Equity Bear Bear,4.31,NYSE Arca
DESP,Despegar.com Corp,6.99,New York Stock Exchange
ODFL,Old Dominion Freight Line Inc,199.12,Nasdaq Global Select
CFMS,Conformis Inc,0.7856,Nasdaq Global Select
NVTR,Nuvectra Corporation,0.13,NASDAQ Global Market
TGP,Teekay LNG Partners LP,10.73,New York Stock Exchange
VRP,PowerShares Variable Rate Preferred Portfolio,24.69,NYSE Arca
NFJ,Allianzgi Dividend Interest & Premium Strategy Fund,12.2,New York Stock Exchange
ENZ,Enzo Biochem Inc,2.03,New York Stock Exchange
KRA,Kraton Corp,30.34,New York Stock Exchange
NSU,Nevsun Resources Ltd,4.45,NYSE American
WLTW,Willis Towers Watson PLC,209.4,Nasdaq Global Select
TRCO,Tribune Media Company Class A,46.2,New York Stock Exchange
GGN,GAMCO Global Gold Natural Resources & Income Trust,3.46,NYSE American
QTM,Quantum Corporation,1.62,New York Stock Exchange
CDXS,Codexis Inc,14.05,Nasdaq Global Select
TFI,SPDR Nuveen Bloomberg Barclays Municipal Bond,51.7,NYSE Arca
FCFS,FirstCash Inc,60.72,New York Stock Exchange
MB,MINDBODY Inc.,36.46,NASDAQ Global Market
I,Intelsat S.A.,0.3826,New York Stock Exchange
FSNN,Fusion Telecommunications International Inc.,0.14,NASDAQ Capital Market
URG,Ur-Energy Inc,0.4695,NYSE American
LTXB,LegacyTexas Financial Group Inc.,38.05,Nasdaq Global Select
VREX,Varex Imaging Corp,13.97,Nasdaq Global Select
KDMN,Kadmon Holdings Inc,3.71,New York Stock Exchange
CNS,Cohen & Steers Inc,58.48,New York Stock Exchange
LM,Legg Mason Inc,49.99,New York Stock Exchange
BITA,Bitauto Holdings Ltd,15.84,New York Stock Exchange
LXU,LSB Industries Inc,2.19,New York Stock Exchange
SON,Sonoco Products Co,55.12,New York Stock Exchange
GDOT,Green Dot Corp,60.41,New York Stock Exchange
ROP,Roper Technologies Inc,422.87,New York Stock Exchange
NLS,Nautilus Inc,26.81,New York Stock Exchange
SITE,SiteOne Landscape Supply Inc,135.13,New York Stock Exchange
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,35.22,Nasdaq Global Select
MSTR,MicroStrategy Inc,169.07,Nasdaq Global Select
NFEC,NF Energy Saving Corporation,6.93,NASDAQ Capital Market
COHU,Cohu Inc,19.12,Nasdaq Global Select
RBA,Ritchie Bros. Auctioneers Inc,62.32,New York Stock Exchange
OTIC,Otonomy Inc,3.71,Nasdaq Global Select
OPB,Opus Bank,19.49,Nasdaq Global Select
BT,BT Group plc American Depositary Shares,13.05,New York Stock Exchange
ABAX,ABAXIS Inc.,83.06,Nasdaq Global Select
CPRX,Catalyst Pharmaceuticals Inc,3.19,NASDAQ Capital Market
ZIOP,ZIOPHARM Oncology Inc,2.43,NASDAQ Capital Market
EFR,Eaton Vance Senior Floating-Rate Trust,12.39,New York Stock Exchange
GRMN,Garmin Ltd,98.79,Nasdaq Global Select
SPDW,SPDR Portfolio Developed World ex-US,29.85,NYSE Arca
MEDP,Medpace Holdings Inc,120.02,Nasdaq Global Select
TEF,Telefonica SA,3.64,New York Stock Exchange
EXIV,VelocityShares 1x Daily Inverse VSTOXX Futures ETN,7.45,BATS Exchange
CSLT,Castlight Health Inc,0.9169,New York Stock Exchange
KEP,Korea Electric Power Corporation,9.11,New York Stock Exchange
CEIX,CONSOL Energy Inc,4.12,New York Stock Exchange
GIL,Gildan Activewear Inc,21.96,New York Stock Exchange
NEWM,New Media Investment Group Inc.,6.28,New York Stock Exchange
TYPE,Monotype Imaging Holdings Inc.,16.16,Nasdaq Global Select
KYN,Kayne Anderson MLP/Midstream Investment Co,4.6,New York Stock Exchange
NVGS,Navigator Holdings Ltd,8.08,New York Stock Exchange
MCC,Medley Capital Corp,19.47,New York Stock Exchange
MCY,Mercury General Corp,40.43,New York Stock Exchange
TWOU,2U Inc,35.01,Nasdaq Global Select
MDGL,Madrigal Pharmaceuticals Inc,126.32,NASDAQ Capital Market
AZUL,Azul SA,14.05,New York Stock Exchange
TCS,Container Store Group Inc,10.05,New York Stock Exchange
ACTG,Acacia Research Corp,3.22,Nasdaq Global Select
GATX,GATX Corp,69.39,New York Stock Exchange
EPC,Edgewell Personal Care Co,28.84,New York Stock Exchange
SRG,Seritage Growth Properties,12.93,New York Stock Exchange
AMWD,American Woodmark Corp,91.78,Nasdaq Global Select
CATY,Cathay General Bancorp,23.31,Nasdaq Global Select
MSM,MSC Industrial Direct Co Inc,67.13,New York Stock Exchange
COLB,Columbia Banking System Inc,26.31,Nasdaq Global Select
GBT,Global Blood Therapeutics Inc,58.64,Nasdaq Global Select
GEF,Greif Inc,43.2,New York Stock Exchange
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,4.53,New York Stock Exchange
MPAA,Motorcar Parts of America Inc,15.39,Nasdaq Global Select
HCHC,HC2 Holdings Inc,2.39,New York Stock Exchange
GGG,Graco Inc,65.18,New York Stock Exchange
BPFH,Boston Private Financial Holdings Inc,6.56,Nasdaq Global Select
TDS,Telephone and Data Systems Inc,17.74,New York Stock Exchange
SYNT,Syntel Inc.,41.0,Nasdaq Global Select
COWN,Cowen Inc,18.96,Nasdaq Global Select
MTH,Meritage Homes Corp,108.31,New York Stock Exchange
GTLS,Chart Industries Inc,85.53,Nasdaq Global Select
SKYW,SkyWest Inc,31.05,Nasdaq Global Select
CONN,Conn's Inc,12.1,Nasdaq Global Select
EZPW,EZCORP Inc,5.17,Nasdaq Global Select
GNL,Global Net Lease Inc,15.38,New York Stock Exchange
BXC,Bluelinx Holdings Inc,25.08,New York Stock Exchange
NPO,EnPro Industries Inc,60.72,New York Stock Exchange
RCI,Rogers Communications Inc,39.9,New York Stock Exchange
LFIN,LongFin Corp,17.46,NASDAQ Capital Market
BSMX,Banco Santander (M?xico) S.A. Instituci?n de Banca M?ltiple Grupo Financiero Santander M?xico,3.83,New York Stock Exchange
MHLD,Maiden Holdings Ltd,1.19,Nasdaq Global Select
MLNX,Mellanox Technologies Ltd.,124.89,Nasdaq Global Select
AERI,Aerie Pharmaceuticals Inc,9.12,NASDAQ Global Market
BAK,Braskem SA ADR,8.26,New York Stock Exchange
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,323.51,NASDAQ Global Market
