symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
T,AT&T Inc,198226412000,Communication Services,Telecom Services,0.64871,27.82,2.06,34943540,New York Stock Exchange,NYSE
XOM,Exxon Mobil Corp,144436330000,Energy,Oil & Gas Integrated,1.28061,34.16,3.48,24968676,New York Stock Exchange,NYSE
SNY,Sanofi American Depositary Shares (Each repstg one-half of one),123107959000,Healthcare,Drug Manufacturers General,0.47144,49.33,3.493,1012329,New York Stock Exchange,NASDAQ
RDS-B,Royal Dutch Shell plc,97698218000,Energy,Oil & Gas Integrated,0.83588,24.36,2.52,3446815,NYSE,NYSE
RDS-A,Royal Dutch Shell plc,97698054000,Energy,Oil & Gas Integrated,0.83588,25.61,2.52,6175518,NYSE,NYSE
WFC,Wells Fargo & Co,96205070000,Financial Services,Banks Diversified,1.06758,23.28,1.63,39508771,New York Stock Exchange,NYSE
TOT,Total S.A.,87207723000,Energy,Oil & Gas Integrated,0.73934,32.87,3.000075,2805432,New York Stock Exchange,NYSE
HSBC,HSBC Holdings plc.,85596725000,Financial Services,Banks Diversified,0.563153,20.88,2.55,3364040,New York Stock Exchange,NYSE
BTI,British American Tobacco Industries p.l.c. ADR,77158048000,Consumer Defensive,Tobacco,0.58407,33.64,2.6674029999999997,2369134,New York Stock Exchange,NYSE
MO,Altria Group Inc,72626274000,Consumer Defensive,Tobacco,0.50212,39.08,4.16,7640542,New York Stock Exchange,NYSE
SNP,China Petroleum & Chemical Corporation,66197369000,Energy,Oil & Gas Integrated,1.644408,41.0,4.37,148140,New York Stock Exchange,NYSE
NTES,NetEase Inc.,59980710000,Communication Services,Internet Content & Information,0.806913,85.87,10.809999999999999,2389642,Nasdaq Global Select,NASDAQ
ENB,Enbridge Inc,58485207000,Energy,Oil & Gas Midstream,0.91188,28.92,3.096,2887370,New York Stock Exchange,NYSE
BP,BP p.l.c.,54458450000,Energy,Oil & Gas Integrated,0.570394,16.05,2.1900000000000004,13126203,New York Stock Exchange,NYSE
BNS,Bank of Nova Scotia,52642570000,Financial Services,Banks Diversified,0.83315,43.53,3.6,1131446,New York Stock Exchange,NYSE
WBK,Westpac Banking Corporation,48298840000,Financial Services,Banks Diversified,0.623491,13.48,1.2120000000000002,206235,New York Stock Exchange,NYSE
EQNR,Equinor ASA,46255272000,Energy,Oil & Gas Integrated,0.790828,14.17,1.41,3490007,NYSE,NYSE
CEO,CNOOC Limited,44163826000,Energy,Oil & Gas E&P,1.116653,97.86,10.011,131003,New York Stock Exchange,NYSE
TRP,TC Energy Corp,39558050000,Energy,Oil & Gas Midstream,0.68352,42.18,3.87,1284646,New York Stock Exchange,NYSE
BCE,BCE Inc,38634279000,Communication Services,Telecom Services,0.28274,42.79,3.21,930618,New York Stock Exchange,NYSE
EPD,Enterprise Products Partners LP,38484173000,Energy,Oil & Gas Midstream,1.36465,17.63,1.7725,7597951,New York Stock Exchange,NYSE
PUK,Prudential Public Limited Company,36809228000,Financial Services,Insurance Life,1.040225,28.04,5.8340000000000005,247239,New York Stock Exchange,NYSE
CM,Canadian Imperial Bank of Commerce,34748944000,Financial Services,Banks Diversified,1.03209,78.03,5.8,352860,New York Stock Exchange,NYSE
SAN,Banco Santander S.A. Sponsored ADR (Spain),34223487000,Financial Services,Banks Diversified,1.444891,2.08,0.249,8688395,New York Stock Exchange,NYSE
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one),34086963200,Financial Services,Banks Regional,1.213032,3.56,0.39159200000000005,16682,New York Stock Exchange,NYSE
BBD,Banco Bradesco Sa American Depositary Shares,34086959100,Financial Services,Banks Regional,1.213032,4.0,0.459475,20468040,New York Stock Exchange,NYSE
ING,ING Group N.V.,30369777700,Financial Services,Banks Diversified,1.448913,7.73,0.76342,3929287,New York Stock Exchange,NYSE
CHT,Chunghwa Telecom Co. Ltd.,29050556400,Communication Services,Telecom Services,-0.013032,37.51,2.86165,149801,New York Stock Exchange,NYSE
KMI,Kinder Morgan Inc,28928041000,Energy,Oil & Gas Midstream,0.99181,12.78,1.0125,13047310,New York Stock Exchange,NYSE
MFC,Manulife Financial Corp,28393793500,Financial Services,Insurance Life,1.15088,14.62,1.09,2006901,New York Stock Exchange,NYSE
LYG,Lloyds Banking Group Plc American Depositary Shares,27112050700,Financial Services,Banks,0.724859,1.51,0.15994,6310696,New York Stock Exchange,NYSE
E,ENI S.p.A.,26981062700,Energy,Oil & Gas Integrated,0.835076,15.2,1.909342,365989,New York Stock Exchange,NYSE
BCS,Barclays PLC,25309077500,Financial Services,Banks Diversified,0.827835,5.83,0.428947,2830195,New York Stock Exchange,NYSE
ETP,Energy Transfer Partners L.P. representing limited partner interests,25072995000,Energy,Oil & Gas Midstream,1.234948,21.49,2.26,8014651,New York Stock Exchange,NYSE
WMB,Williams Companies Inc,24222658600,Energy,Oil & Gas Midstream,1.77258,19.96,1.56,8992687,New York Stock Exchange,NYSE
RFT,RAIT Financial Trust 7.625% Senior Notes due 2024,24141220000,,,0.55777,17.66,1.90624,12471,New York Stock Exchange,NYSE
TU,Telus Corp,23599919100,Communication Services,Telecom Services,0.55665,18.38,1.43625,1030060,New York Stock Exchange,NYSE
HEWY,iShares Currency Hedged MSCI South Korea,23265509400,,,0.0,23.675,5.882,1318,NYSE Arca,NYSE
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,22461929500,Financial Services,Banks Regional,0.652631,5.96,0.6655500000000001,874223,New York Stock Exchange,NYSE
PSX,Phillips 66,22044463100,Energy,Oil & Gas Refining & Marketing,1.48501,50.48,3.6,3329320,New York Stock Exchange,NYSE
SLB,Schlumberger NV,21437259800,Energy,Oil & Gas Equipment & Services,2.12804,15.4,1.25,12956318,New York Stock Exchange,NYSE
SPG,Simon Property Group Inc,20458256400,Real Estate,REIT Retail,1.34786,66.88,7.6,4897607,New York Stock Exchange,NYSE
CNQ,Canadian Natural Resources Ltd,20137478100,Energy,Oil & Gas E&P,2.09165,17.07,1.6,3119440,New York Stock Exchange,NYSE
EC,Ecopetrol S.A. American Depositary Shares,20106016800,Energy,Oil & Gas Integrated,0.886716,9.78,1.429,999510,New York Stock Exchange,NYSE
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,19655047200,Financial Services,Banks Diversified,1.366049,2.92,0.284559,3672681,New York Stock Exchange,NYSE
MPC,Marathon Petroleum Corp,19449272300,Energy,Oil & Gas Refining & Marketing,2.14996,29.89,2.22,7331156,New York Stock Exchange,NYSE
BMLP,BMO Elkhorn DWA MLP Select Index Exchange Traded Notes due December 10 2036,19445620700,,,0.0,29.82,3.393,1601,NASDAQ Global Market,NASDAQ
SU,Suncor Energy Inc,19118022700,Energy,Oil & Gas Integrated,1.6802,12.53,1.935,7234498,New York Stock Exchange,NYSE
TEF,Telefonica SA,19076190200,Communication Services,Telecom Services,1.021721,3.71,0.43974199999999997,1860890,New York Stock Exchange,NYSE
RBS,Royal Bank of Scotland Group Plc New (The) ADS,18590459900,Financial Services,Banks Diversified,1.139983,3.09,0.49727999999999994,1041382,New York Stock Exchange,NYSE
