symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,411792146000.0,Technology,Semiconductors,0.602506,88.31,2.848502,10843575,New York Stock Exchange,NYSE
JNJ,Johnson & Johnson,382390796000.0,Healthcare,Drug Manufacturers General,0.66219,145.24,3.92,5973164,New York Stock Exchange,NYSE
PG,Procter & Gamble Co,353046888000.0,Consumer Defensive,Household & Personal Products,0.39994,142.38,3.0284,6050721,New York Stock Exchange,NYSE
JPM,JPMorgan Chase & Co,316433629000.0,Financial Services,Banks Diversified,1.16039,103.81,3.6,16055524,New York Stock Exchange,NYSE
HD,Home Depot Inc,304638198000.0,Consumer Cyclical,Home Improvement Retail,1.10402,283.0,5.72,3320683,New York Stock Exchange,NYSE
VZ,Verizon Communications Inc,239841378000.0,Communication Services,Telecom Services,0.3707,57.96,2.4475,13794033,New York Stock Exchange,NYSE
KO,Coca-Cola Co,217005621000.0,Consumer Defensive,Beverages Non-Alcoholic,0.54807,50.52,1.61,13878640,New York Stock Exchange,NYSE
BAC,Bank of America Corp,215671849000.0,Financial Services,Banks Diversified,1.56742,24.9,0.72,58023240,New York Stock Exchange,NYSE
PFE,Pfizer Inc,212161675000.0,Healthcare,Drug Manufacturers General,0.64294,38.18,1.48,23689692,New York Stock Exchange,NYSE
INTC,Intel Corp,204994593000.0,Technology,Semiconductors,0.67973,48.2,1.29,35350193,Nasdaq Global Select,NASDAQ
MRK,Merck & Co Inc,201909240000.0,Healthcare,Drug Manufacturers General,0.38603,79.83,2.38,8022203,New York Stock Exchange,NYSE
T,AT&T Inc,198217499000.0,Communication Services,Telecom Services,0.64871,27.82,2.06,35137538,New York Stock Exchange,NYSE
NVS,Novartis AG,193442644000.0,Healthcare,Drug Manufacturers General,0.517296,84.43,3.042,1764023,New York Stock Exchange,NYSE
PEP,PepsiCo Inc,192866320000.0,Consumer Defensive,Beverages Non-Alcoholic,0.55605,139.56,3.8875,4079236,Nasdaq Global Select,NASDAQ
TM,Toyota Motor Corporation,185864290000.0,Consumer Cyclical,Auto Manufacturers,0.901214,133.28,4.05504,161447,New York Stock Exchange,NYSE
LFC,China Life Insurance Company Limited American Depositary Shares,179992019000.0,Financial Services,Insurance Life,1.499597,12.39,0.513,450826,New York Stock Exchange,NYSE
BT,BT Group plc American Depositary Shares,173378967464.86,Communication Services,Communication Services,0.588951,13.05,0.60314,1308007,New York Stock Exchange,NYSE
MCD,Mcdonald's Corp,170183803000.0,Consumer Cyclical,Restaurants,0.62245,228.71,4.91,2810398,New York Stock Exchange,NYSE
TBB,AT&T Inc. 5.350% Global Notes due 2066,165221482000.0,,,0.398881,26.91,1.336,73518,New York Stock Exchange,NYSE
CSCO,Cisco Systems Inc,164341760000.0,Technology,Communication Equipment,0.82478,38.82,1.41,22696504,Nasdaq Global Select,NASDAQ
UL,Unilever PLC,161562247000.0,Consumer Defensive,Household & Personal Products,0.388576,61.32,1.8179999999999998,898943,New York Stock Exchange,NYSE
UN,Unilever NV,159522849000.0,Consumer Defensive,Household & Personal Products,0.388576,60.65,1.8179999999999998,1294246,New York Stock Exchange,NYSE
