symbol,date,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
AMD,2019-12-28,0.03953667953667954,0.17204740498569676,0.03644646924829157,0.03644646924829157,0.011869436201780416,-0.03873962049695325,-0.03873962049695325,0.05263157894736842,0.05263157894736842,0.0,13.5,-3.13953488372093,-0.2458525025779329,-0.1617248715686783,0.17467249364633491,-0.36904636061612806,-4.449562682215744,3.083878968253968,-0.4509925911854104,-1.5802197802197802,-1.5115245041678642,1.6409639550264548,9.366386554621847,4.066416981456045,0.0,0.0,0.0,0.5052631578947369,0.1621301775147929,0.3230904302019315,0.0,-0.6112,0.07880055788005579,0.33451957295373663
AMD,2018-12-29,0.23262897391966494,0.3693340794627868,2.8173913043478263,2.8173913043478263,11.212121212121213,10.138199653779573,10.138199653779573,0.11764705882352941,0.11764705882352941,0.0,1.8333333333333333,0.27722772277227725,-0.3639954418587792,-0.1340843853358628,0.19392811457358006,-1.028029792689817,-1.1627971956919325,-1.1107109588129616,-1.0620576821330279,-3.8772760213787483,-1.3757561517429937,-9.807789290298917,0.6491665745245467,-3.2612918826191692,0.0,0.0,0.0,1.7202643171806167,0.21757925072046108,0.28265765765765766,0.0,-0.1039426523297491,0.19899665551839466,0.08914728682170543
AMD,2017-12-30,0.22963483146067415,0.7905811623246493,1.2613636363636365,1.2613636363636365,0.9336016096579477,0.9417684514709094,0.9417684514709094,0.14011976047904193,0.14011976047904193,0.0,-0.8666666666666667,-8.76923076923077,-0.4879487301323323,-0.24589964167149703,-0.2303461159254838,-1.022689075630252,-1.0276341305753072,-1.0987823700908936,-0.9942756919281474,-0.9782874688336872,-0.9339408219863629,-0.8831651724234846,-0.13772609415513415,1.5711589448613668,0.0,0.0,0.0,0.45980707395498394,-0.0758988015978695,0.06955736224028906,0.0,-0.027874564459930314,0.1865079365079365,0.12173913043478261
AMD,2016-12-31,0.0704084189426209,-0.07592592592592592,0.08523908523908524,0.08523908523908524,0.24696969696969698,0.29386292724015617,0.29386292724015617,0.06641123882503193,0.06641123882503193,0.0,-1.3982300884955752,-1.0403726708074534,-0.5544070647870484,-0.4220163813663781,-0.2720153955158187,-0.9587956953226413,-0.7906386180518543,-1.549117980255705,0.7641151432075607,-1.899481688354452,4.407084625928865,-0.957629011639642,-0.7675049900199601,-0.3094751673124339,0.0,0.0,0.0,-0.4165103189493433,0.10766961651917405,0.07684824902723736,0.0,-0.35851586946803754,0.07577374599786553,-0.031578947368421054
AMD,2015-12-26,-0.2751543770432256,-0.41272430668841764,-1.2268518518518519,-1.2268518518518519,-0.6377171215880894,-0.6063383771010407,-0.6063383771010407,0.01953125,0.01953125,0.0,1.3061224489795917,0.6683937823834197,-0.6157765262355179,-0.42467710640453654,-0.30340771456150695,-1.0857978485600037,-0.4864846433309775,-0.36722664308871206,-3.2450486740516955,-2.3117927943317795,-0.4720222306429203,-1.0691947317245647,-1.3807412954705054,-1.724721901750488,0.0,0.0,0.0,-0.3484107579462103,-0.010218978102189781,-0.18131138837271038,0.0,0.011301989150090416,-0.1283720930232558,-0.21746293245469522
AMD,2014-12-27,0.03906397433478015,-0.07027300303336703,-3.1176470588235294,-3.1176470588235294,-3.855421686746988,-3.766896802325581,-3.766896802325581,0.01856763925729443,0.01856763925729443,0.0,-0.33783783783783783,-0.16810344827586207,-0.46804566596353026,-0.10035801869331858,-0.19007324020503455,-1.0435838989875748,-1.1829082980972516,-1.2478594022687608,-3.135206791392544,-1.9462059507978722,-1.7929873133061778,-0.9699804038621263,-0.7452377507716049,-0.8863715277777778,0.0,0.0,0.0,-0.016826923076923076,-0.2251131221719457,-0.13142725386211668,0.0,0.07482993197278912,-0.10341951626355296,-0.09940652818991098
AMD,2013-12-28,-0.02268535595721136,0.6016194331983805,1.0962264150943397,1.0962264150943397,0.9298393913778529,0.9310487381693591,0.9310487381693591,0.017543859649122806,0.017543859649122806,0.0,-0.5621301775147929,-0.5074309978768577,-0.30723980703354925,-0.26551208065706494,-0.20674235919873807,-1.2303510730322358,-0.8278238604130571,-0.6507815920269887,-0.860886685702966,-0.9784317939356785,-1.171312800238783,-0.8973407345674043,-6.340751762955295,-0.47793799963864986,0.0,0.0,0.0,0.32063492063492066,0.5729537366548043,0.08425,0.0,0.007835455435847209,-0.11447562776957164,-0.181044957472661
AMD,2012-12-29,-0.17448233861144946,-0.5799319727891157,-7.928104575163399,-7.928104575163399,-3.409368635437882,-3.4126003052604537,-3.4126003052604537,-0.0013477088948787063,-0.0013477088948787063,0.0,-1.8848167539267016,-4.568181818181818,-0.07131750828255713,-0.3209772887488714,-0.08180265724320197,0.7563199336924987,-0.17894736842105272,-1.6538333147880269,-0.5805994264248495,-0.736359246740705,-3.878779395296753,-0.8992600299664067,-0.8645038116257971,-0.24034088069175796,0.0,0.0,0.0,-0.3144722524483134,0.18067226890756302,-0.1925716592652402,0.0,0.012896825396825396,-0.06813489332415691,-0.17036290322580644
AMD,2011-12-31,0.011395133969818293,-0.0070921985815602835,-0.8143203883495146,-0.8143203883495146,0.04246284501061571,0.029833789840637483,0.029833789840637483,0.01227830832196453,0.01227830832196453,0.0,-1.9271844660194175,-1.2357142857142858,-0.24396876202074746,-0.22905611708104723,-0.07489437377945093,0.021048704076578162,-0.8031905201716523,-1.451587647819516,-4.629660270609271,-2.9612574286363786,-1.1296536849267156,-0.7996383363471972,-0.8177552784294357,-16.862369337979093,0.0,0.0,0.0,-0.0506198347107438,-0.2468354430379747,-0.00201450443190975,0.0,-0.16728624535315986,0.03416370106761566,0.06209850107066381
AMD,2010-12-25,0.2019248565611697,0.3032570422535211,-0.016706443914081145,-0.016706443914081145,0.2526595744680851,0.15866346899399536,0.15866346899399536,0.08112094395280237,0.08112094395280237,0.0,-1.8710359408033828,-81.0,-0.3323245006915871,-0.33216029113097034,-0.1778495388232272,-1.1631766626140314,-1.1670794211813675,0.011732605729877176,-0.7712129392024583,0.7114354368711951,-1.1061116187090878,-0.847510360951642,-0.8182631289336333,-0.7420898219166207,0.0,0.0,0.0,0.2993288590604027,0.1146384479717813,-0.45318352059925093,0.0,-0.48826886493341787,-0.18361417780360256,-0.060362173038229376
