symbol,date,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
NVDA,2020-01-26,-0.06811198361215431,-0.0561985776042393,-0.2518401682439537,-0.2518401682439537,-0.32480077276020286,-0.3171531634870805,-0.3171531634870805,-0.0112,-0.0112,0.06311988066888238,0.27197435212396476,0.3592109449570474,1.9214271397073566,1.1248573732062488,0.6592860588519057,7.686215502931729,3.789688658656996,1.9903231987736336,-37.59337521416334,3.0398433507654397,0.762456438886234,3.075484070748101,1.5168008895647551,1.2242580279905508,0.0,0.9057675689039624,0.5692073057322474,0.16362359550561797,-0.3784126984126984,0.30266325609389105,0.0,0.0015090543259557343,0.19065656565656566,0.1029263370332997
NVDA,2019-01-27,0.20609429689108502,0.23170731707317074,0.18504672897196262,0.18504672897196262,0.35904168034131934,0.37426366879615036,0.37426366879615036,-0.011075949367088608,-0.011075949367088608,0.10016187683284462,0.06881781838949172,0.0804400137504297,1.999296,1.7006372881355931,1.1289912974051894,12.159031275060146,3.2669572506286677,1.900108255319149,-122.02762666666666,7.959618181818182,5.140010423452769,2.4200691440501045,0.9958671454219031,0.9031006489147462,0.0,0.9481081081081083,0.5857201877934272,0.12569169960474308,0.9786432160804021,0.18245707677252915,0.0,-0.006,0.32220367278797996,0.21595092024539878
NVDA,2018-01-28,0.4057887120115774,0.4329313315284273,0.6597724922440538,0.6597724922440538,0.8289315726290516,0.878123746119056,0.878123746119056,-0.026194144838212634,-0.026194144838212634,0.34165696687521224,1.0944976076555024,0.94451871657754,1.063345069828667,1.2444879037028274,0.8486563640427663,1.39980682140115,3.2019073347688134,2.4450588191028575,2.3250156175723298,4.352134249162488,3.304980703834059,1.484017064851103,0.5302923741256175,0.5065959409435509,0.0,6.190258022725433,0.6294127147666471,0.5314769975786925,0.0025188916876574307,0.1422619652474342,0.0,-0.2897727272727273,0.22829801777170197,0.22926093514328807
NVDA,2017-01-29,0.37924151696606784,0.4453930985414443,1.5890227576974565,1.5890227576974565,1.713355048859935,1.3788840597169834,1.3788840597169834,0.140597539543058,0.140597539543058,0.07430716812430813,0.4229787234042553,0.37373737373737376,0.5770667942045464,0.6404812575779413,0.5339113629834685,0.23114203288418478,0.7454718993042868,0.8355662267180017,0.9526126564485173,1.7216663263222378,2.4713195125367697,1.0584845228187927,0.3191068377116601,0.1854966762841881,0.0,0.0,0.3198208113462351,0.6356435643564357,0.8995215311004785,0.33527815468113975,0.0,0.8649006622516556,0.09917355371900827,0.10132890365448505
NVDA,2016-01-31,0.07016821720014517,0.08137136816367292,-0.01579601285394123,-0.01579601285394123,-0.02630406272251093,-0.03644935753765915,-0.03644935753765915,0.010535139627895743,0.010535139627895743,0.1304754547569022,0.2974021041101699,0.3903163001500112,0.6840953328282542,0.46375907938969246,0.28576532036857594,1.1165889200570909,0.799793618290579,0.5659323905291984,0.41074287324693415,1.5121807206318554,0.19791975576484241,1.2971471554305096,0.45428563378009484,0.016742187852640464,0.0,0.0,3.9885520926624727,0.06540084388185655,-0.13457556935817805,0.02346896264407721,0.0,0.08011444921316166,-0.021125595249039328,0.2521762282039175
NVDA,2015-01-25,0.133536803874092,0.14615388007054675,0.5302197580645162,0.5302197580645162,0.43315227272727275,0.5144151453684921,0.5144151453684921,-0.0536672268907563,-0.0536672268907563,0.08673927147006781,0.08448808525925039,0.35070701845145713,0.9211033919472775,0.37488152218854304,0.28104018407578407,0.9781106481839014,0.8135240350606211,0.08974204489537999,1.0426314559482581,-10.058117366662222,0.1873773126419877,1.879423972461946,0.6193112803027093,0.1657791387958338,0.0,0.0,0.0,0.11267605633802817,0.24484536082474226,-0.006895600606812853,0.0,0.017467248908296942,0.017758233532934133,0.10266743119266054
NVDA,2014-01-26,-0.035046728971962614,0.018867924528301886,-0.2345679012345679,-0.2345679012345679,-0.21847246891651864,-0.17906305506216696,-0.17906305506216696,-0.048,-0.048,3.0605794556628623,0.013224945401601552,-0.09517865501638322,0.8199004975124379,0.11058823529411768,0.15392405903936515,4.595007564296521,2.0839379216000755,0.2232595790609822,3.378812199036918,-14.50812324929972,0.7215929850200951,2.2323856323856326,0.7135755513061174,0.3866914637593485,0.0,0.0,0.0,-0.06167400881057269,-0.05825242718446602,0.1308484092326887,0.0,71.3157894736842,0.16477768090671316,0.01160092807424594
NVDA,2013-01-27,0.07053526763381691,0.08215848322800194,0.0,0.0,-0.03098106712564544,-0.04493309866621427,-0.04493309866621427,0.01461038961038961,0.01461038961038961,0.0,-0.09348878134623845,-0.1682024659312135,-0.39547953887802434,-0.08070564050504407,0.13241130487071562,3.2717842360803573,-0.4288767861337936,0.48687166871668713,0.9478942098120104,-0.3787495860940644,-8.285882352941176,0.18257558393622442,0.6232303753525711,0.5942363977485928,0.0,0.0,0.0,0.35119047619047616,0.21176470588235294,0.154691157932649,0.0,-0.09523809523809523,0.14356929212362912,0.06157635467980296
NVDA,2012-01-29,0.12842224103866778,0.45990063875088716,1.53125,1.53125,1.2964426877470356,1.1957908460213253,1.1957908460213253,0.04584040747028863,0.04584040747028863,0.0,0.34536845220479434,0.33327565322720193,0.8370674854492738,-0.038656012118676725,0.0384415584415585,14.32399592359351,-0.29466522298359804,2.243118549453754,8.932282003710576,-0.2825672134882661,-18.22878787878788,2.3044225042322095,0.560513874971476,0.5400103028495512,0.0,0.0,0.0,-0.03724928366762178,-0.017341040462427744,0.2353726362625139,0.0,-0.08695652173913043,0.18138987043580684,0.12154696132596685
NVDA,2011-01-30,0.06524353577871317,0.19711129991503823,3.585858585858586,3.585858585858586,4.720588235294118,4.474118408282109,4.474118408282109,0.07090909090909091,0.07090909090909091,0.0,0.3854038540385404,0.408824963432472,0.5912605911947785,0.15052767667916353,-0.19249224596312334,1.1864945382323733,0.17601757142988433,-0.5030872815152772,1.383719845519506,-0.43843893806648243,-0.7037601085053209,1.9231971641581913,0.579570823002344,0.1348573931346398,0.0,0.0,0.0,-0.06933333333333333,0.045317220543806644,0.2534857780256553,0.0,-0.041666666666666664,0.037897310513447434,0.26573426573426573
