symbol,date,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
NVDA,2019-04-28,3.603896103896104,0.6396103896103896,1.1688311688311688,0.961038961038961,4.5,15.753246753246753,21.670454545454547,15.753246753246753,3.2483766233766236,110001953600.0,109217953600.0,279.1927756345178,49.55042954954955,152.78049111111113,185.8141108108108,11.335733058532565,11.335733058532565,49.1972763963964,221.53743123732252,151.69160222222223,184.48978648648648,0.0035817545698570213,0.005381722602424763,0.44486809563066776,0.3078952999072819,-1.59026369168357,8.984784446322909,29.923076923076923,1.8274111675126903,0.0008818025210054088,0.24619289340101522,0,0.3036036036036036,0.04792810783824263,-5.625,-17.34375,-0.7109375,0.08018018018018018,15.056847498833783,0.03030066988627512,0.029515319499587984,8.32711038961039,9446000000,9032000000.0,6312000000.0,,1574500000,564500000,1277000000,50.35135135135135,35.84415584415584,138.8961038961039,1.78743961352657,2.510869565217391,0.6479663394109397,0.04060181368507832,-0.2077922077922078
NVDA,2019-01-27,3.545016077170418,0.909967845659164,1.4437299035369775,1.117363344051447,1.257234726688103,15.019292604501608,20.30385852090032,15.019292604501608,3.2186495176848875,85392638400.00002,86598638400.00002,150.8703858657244,38.72682013605443,95.09202494432073,122.86710561151081,9.140723442517663,9.140723442517663,39.273758911564634,134.0536198142415,96.43500935412028,124.60235741007196,0.006628206021094202,0.008138874884559133,0.4228216655962321,0.29717123081552815,1.86687306501548,7.943566591422122,23.142857142857142,1.5865724381625441,0.0011476399117795616,0.17314487632508835,0,0.29342403628117913,0.04987962684321396,-4.4236453201970445,-10.862068965517242,-0.3842364532019704,0.07120181405895691,17.535938812321007,0.027083507481400985,0.04481748356956212,8.565112540192926,9228000000,8679000000.0,6607000000.0,,1665500000,636000000,1351500000,58.12244897959184,46.08216432865732,142.03406813627257,1.5484550561797752,1.9530332681017613,0.6336507936507937,0.06058659815885249,-0.32636655948553056
NVDA,2018-10-28,5.0896,1.968,0.7792,0.5392,1.1536,15.16,20.784,15.16,3.2032,115289562500.0,116555562500.0,93.73135162601626,36.243182175416536,236.73421457905545,342.10552670623144,12.167763852242745,12.167763852242745,36.641170229487585,89.52040130568356,239.33380390143736,345.86220326409494,0.010668788859355764,0.0029230746712218636,0.4413720316622691,0.306216592223768,0.9723502304147466,7.080845771144278,72.06666666666666,0.3959349593495935,0.000789316899350711,0.07398373983739838,0,0.19019176359635334,0.04883942300651681,-3.2466666666666666,-21.206666666666667,-0.4533333333333333,0.0433825840930525,25.909164401809644,0.08971698896173956,0.09468822170900693,9.2508,9778000000,8808000000.0,7204000000.0,,2063000000,831500000,1272500000,62.78214397988054,64.42857142857143,101.21428571428571,1.4335286164939163,1.3968957871396896,0.8892025405786874,0.12981530343007916,-0.24
NVDA,2018-07-29,4.9888178913738015,1.7587859424920127,1.4584664536741214,1.2523961661341854,1.1469648562300319,14.049520766773163,19.509584664536742,14.049520766773163,3.196485623003195,151789976000.0,153058976000.0,137.8655549500454,48.603898815241756,166.25408105147864,193.60966326530612,17.258666969869243,17.258666969869243,49.010238872878645,122.15401117318436,167.644004381161,195.2282857142857,0.007253443402613095,0.005165031451088707,0.4646958499147243,0.31726439993789785,1.0127693535514763,7.408344733242134,84.28571428571429,0.8292461398728429,0.0005995125791442249,0.08265213442325159,0,0.18603906500160103,0.05193292966930601,-7.077519379844961,-24.209302325581394,-0.4573643410852713,0.04258725584373999,23.579169653008996,0.10332749562171628,0.09014984033407025,9.021565495207668,9369000000,8126000000.0,6744000000.0,,1784500000,780500000,1109000000,47.89625360230548,62.717770034843205,85.45296167247386,1.8790613718411553,1.435,1.0532110091743119,0.1251847640704946,-0.20607028753993611
NVDA,2018-04-29,5.114832535885167,1.9840510366826156,2.3046251993620417,2.116427432216906,1.2200956937799043,12.307814992025518,17.20414673046252,12.307814992025518,3.1913875598086126,139970351400.0,141191351400.0,112.51635964630225,43.64526080449018,96.86529508650518,105.47878779201206,18.137922949332644,18.137922949332644,44.02599045837231,102.09063731019523,97.71027778546713,106.39890836473248,0.008887596462803479,0.009480579185000174,0.48503304392898794,0.32661431064572427,0.8828633405639913,8.54249547920434,87.4,1.1615755627009647,0.0006501376833722802,0.07315112540192927,0,0.1690053009042719,0.0587260034904014,-12.245762711864407,-27.177966101694917,-0.4830508474576271,0.040224508886810104,23.440029748703104,0.1266177322773807,0.11532400111245017,7.767942583732057,8342000000,7044000000.0,5705000000.0,,1563500000,692000000,962500000,34.23760523854069,49.22739244951712,62.97629499561018,2.628688524590164,1.8282504012841092,1.4291091593475533,0.16120253984709085,-0.18819776714513556
NVDA,2018-01-28,4.627980922098569,1.7790143084260732,2.1589825119236883,1.4976152623211447,6.36248012718601,11.87758346581876,16.8060413354531,11.87758346581876,3.179650238473768,154025683100.0,152008683100.0,137.6458294012511,52.91160532463071,113.42097430044183,163.5092177282378,20.616474782492304,20.616474782492304,52.21871628306424,118.66407736143638,111.93570184094256,161.3680287685775,0.0072650221539579075,0.006115863153734002,0.5046178557087405,0.3353794146428254,-1.574551131928181,8.026886383347788,71.93333333333334,1.2135835567470956,0.0005908105594371488,0.08132260947274352,0,0.174166952937135,0.059603238146072414,-3.264423076923077,-6.997596153846154,-0.12980769230769232,0.04328409481277912,21.804444410311667,0.10695876288659793,0.10585564279632959,7.447933227344992,8102000000,6801000000.0,5485000000.0,,1586000000,678500000,962000000,39.11027138440399,48.32432432432432,64.54054054054053,2.301185770750988,1.8624161073825503,1.3944723618090453,0.14977914603132111,-0.6613672496025437
NVDA,2017-10-29,4.197452229299363,1.3343949044585988,1.8423566878980893,1.732484076433121,4.461783439490445,10.114649681528663,14.568471337579618,10.114649681528663,3.1878980891719744,126898578400.0,126083578400.0,151.43028448687352,48.14058361153263,109.67897873811582,116.63472279411765,19.97773589420655,19.97773589420655,47.83140303490136,131.33706083333334,108.97457078651685,115.88564191176471,0.0066036988795770465,0.008573776110954447,0.547544080604534,0.35381485249237027,-0.8489583333333334,8.256085686465433,59.733333333333334,1.3806682577565632,0.0006619459497428066,0.10023866348448687,0,0.17526555386949924,0.06927772126144456,-16.768115942028984,-38.20289855072464,-0.7101449275362319,0.04059180576631259,17.426447784814087,0.1017834829035556,0.09159470980435021,6.601512738853503,7452000000,5671000000.0,5001000000.0,,1537000000,636000000,992500000,39.84446130500759,43.10215557638238,72.28678537956888,2.258783204798629,2.088062622309198,1.2450408401400233,0.13192695214105793,-0.10987261146496816
NVDA,2017-07-30,3.522906793048973,0.9210110584518167,1.113744075829384,1.028436018957346,3.140600315955766,9.436018957345972,13.756714060031596,9.436018957345972,3.1658767772511847,101884768200.0,101885768200.0,174.75946518010292,45.68823686098655,144.51740170212764,156.5050202764977,17.057553691612252,17.057553691612252,45.68868529147982,136.21092005347595,144.51882014184397,156.50655637480799,0.005722150722820215,0.00638957139031897,0.5740833751883475,0.3647096362476069,0.001336898395721925,7.819767441860465,45.6,1.2092624356775301,0.0008244608245572865,0.14408233276157806,0,0.18654708520179372,0.07381408211018932,-13.055555555555555,-41.2962962962963,-0.9074074074074074,0.036771300448430494,13.983570740988297,0.08172043010752689,0.06694993109784106,5.979857819905213,7038000000,5279000000.0,4641000000.0,,1560000000,596000000,991500000,48.95515695067265,41.79956896551724,82.92025862068965,1.838417147568013,2.1531322505800463,1.0853801169590642,0.09760589318600368,-0.08530805687203792
NVDA,2017-04-30,3.0218408736349454,0.7909516380655226,0.43993759750390016,0.35569422776911075,3.1029641185647425,9.566302652106085,13.575663026521061,9.566302652106085,3.137285491419657,67631076700.0,67637076700.0,133.39462859960554,34.91537258647393,239.8265131205674,296.6275293859649,11.029203636660142,11.029203636660142,34.9184701600413,112.91665559265442,239.84778971631206,296.6538451754386,0.007496553725574503,0.0033712312612051024,0.5345727332028702,0.3483528161530287,0.01001669449081803,8.256358087487284,33.5,0.5562130177514792,0.0012124603658720103,0.16173570019723865,0,0.2121837893649974,0.07523910733262487,-5.222222222222222,-35.870370370370374,-0.8703703703703703,0.03923593185338152,13.047829778954119,0.06360507891301768,0.05826246839806941,6.350234009360374,7133000000,5424000000.0,4838000000.0,,1441500000,554500000,974500000,45.34847702632937,39.79669631512071,93.88818297331639,1.9846311475409837,2.2614942528735633,0.9585870889159561,0.08268101761252446,-0.0842433697347894
NVDA,2017-01-29,3.1584302325581395,0.9505813953488372,1.0479651162790697,0.9738372093023255,2.566860465116279,8.375,13.25436046511628,8.375,2.9636627906976742,74796401600.0,75050401600.0,114.3675865443425,34.4208014726185,103.7398080443828,111.63642029850746,12.980979104477612,12.980979104477612,34.53769056603774,94.88040657395702,104.09209653259362,112.0155247761194,0.008743736142515177,0.008957650176582826,0.707913918778202,0.41449039731734577,0.3211125158027813,4.774049217002237,38.1578947368421,1.1024464831804281,0.0010160916618213356,0.1162079510703364,0,0.18131615278416935,0.07336652779189107,-14.137254901960784,-42.6078431372549,-0.9215686274509803,0.03267372296364473,13.38376560187926,0.09002856078480069,0.07171839017436123,5.429505813953488,6748000000,5040000000.0,4457000000.0,,1366500000,623000000,961000000,34.21076852277957,50.17241379310345,82.13793103448276,2.6307506053268765,1.7938144329896908,1.0957178841309825,0.11350225616105519,-0.07412790697674419
