symbol,date,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
PTR,2020-04-29,0.0,0.0,0.0,0.00035415637030802573,4.563009701110322,84.33201002805568,154.9799491419647,84.33201002805568,31.025927846896312,589570081.1999999,1045726081.1999999,,,,98261.68019999999,0.4126546964601305,0.4126546964601305,,2.0540761920101827,,174287.6802,0.0,1.017690719275936e-05,0.9089068925090553,0.4761879966028952,0.896008234171024,0.6846038779996207,0.0,,-0.00047831463805968996,,,,0.03718663688088278,0.0,0.0,0.0,,0.0,0.0,0.0,-63.05584473406959,-224551000.0,1327041000.0,-811164000.0,,32132044500,164303151000.0,91053435000.0,,250.71668769871764,159.42658874233035,0.0,1.455826508200423,2.289454995426911,0.0,-0.00035415637030802573
PTR,2019-12-31,148.55737621928554,1.6188487014077841,0.0,0.08015738848216185,5.1003827550479555,0.0,155.37116742268415,0.0,30.680447032754877,768474137773.44,1148787137773.44,28.01991313984686,0.305336571999253,,565.8866993913401,,,0.4564457141275821,-0.6786954921149446,,845.9404549141678,0.03568890435202346,0.0017671381940511874,,0.0,-0.2246862888741847,0.705926198068093,0.3854794933655006,0.0,-0.002663720090738424,-0.07463720557135564,0.02029831413575121,0.004188238285766506,0.036833631550252294,0.0,-1853.3210603829161,0.0,0.0,0.0,0.009873081756087764,0.010419234973009752,13.310819059750452,-194506000000.0,,,,64184000000,328314000000.0,181921000000.0,9.308275157838693,-82.86709964553083,-45.91721837818251,39.212420540944784,-4.404643116041351,-7.949087790854272,,-0.08015738848216185
PTR,2019-10-30,0.0,0.20400000013115807,-0.2448739587419158,-0.2440141446557995,0.20323855460574153,2.6102297962079217,4.730926628453541,2.6102297962079217,0.8028258999509181,25147668954.420002,25499462954.420002,224.5588233850358,,-187.07583376916497,-187.73501865893263,17.550178940778185,17.550178940778185,,14.05392132196724,-189.6928618517389,-190.36126816435618,0.004453176165273042,-0.005326656726823826,0.8851358188737394,0.4695848306615297,0.19388977745835817,0.803066143203876,-3.6544354660661456,-1.2003625420807773,-0.00011205809990212644,-0.025163635064784307,,,0.038450573544885784,284.7987288135593,0.0,0.0,,3.461351581723142,0.040324105202638835,0.04312051658214834,-1.8480351213360349,-127712000.0,1328758000.0,-747522000.0,,32130844500,164325457000.0,91044486500.0,,85.03775656832902,42.39671573176517,0.0,4.292211068700024,8.609157424109828,0.0781540385553503,-0.0008598140861163047
PTR,2019-08-29,,,,,,,,,,,354054000.0,,,,0.0,,,,0.2959676792400308,2.633840431467361,2.634859681632471,,,0.8496231375125604,0.4593996564915886,0.2959676792400308,0.7992379402804181,0.0,,,,,,0.0,2585.096153846154,0.0,0.0,,,0.0,0.0,,-120922000.0,,-730269000.0,,32128869000,164313041000.0,91048182000.0,,120.54687954723195,67.73727092533623,0.0,3.0278676758031544,5.3884662758604955,0.0,
PTR,2019-04-29,0.0,0.0,0.0,3.833286918752707e-06,0.008552210549849549,0.10517212398047089,0.18698088021053696,0.10517212398047089,0.03235684859824773,769292792974.53,769623313974.53,,,,14794092.172587115,539.2113219138782,539.2113219138782,,1302.1487747457961,,14800448.34566404,0.0,6.759454979285322e-08,0.8465325576505222,0.4584945485467853,0.55921839601652,0.8792702841248394,0.0,,-3.951681372505266e-07,,,,0.037086965104625384,0.0,0.0,0.0,,0.0,0.0,0.0,-0.06979775983586753,-68535000.0,1328719000.0,-708610000.0,,32131951500,164300657500.0,91045473500.0,,223.2843805224945,132.0728490216535,0.0,1.6346866679428502,2.7636263070251315,0.0,-3.833286918752707e-06
PTR,2019-03-31,417.92890995260666,0.0,40.46919431279621,0.0,58.97156398104266,865.6208530805687,1829.8102068624114,865.6208530805687,381.41545988819905,13909120000.0,83077566014.714,,0.1577301747502353,1.628893313034313,,0.07615343341764945,0.07615343341764945,0.9421041018644637,,9.729191476134677,,0.0,0.0,0.964828137490008,0.4533111765069043,,0.8792712052779683,-3.87227045514324,,,,0.0,0.0,0.006827234251927232,-0.9710029565612918,-10.027632476688652,-0.9332499431430521,0.0,0.0,0.01442122371088879,0.0,-661.1322536937649,-10211000000.0,209867953647.9688,-101855000000.0,,13645000000,42807000000.0,25320000000.0,56.47828946622365,,,6.462660315133749,0.0,0.0,0.0,-41.677725118483416
PTR,2018-12-31,0.17349957869820298,0.011647000000000544,0.0,0.00010025519633408909,0.006310032570445116,0.0,0.157682920852434,0.0,0.030432022544875974,871982732033959.5,872304294033959.5,5519.017772816776,370.4908131898869,,641163.773554382,,,370.62743948131936,-548.986424899404,,641400.2162014408,0.000181191661481029,1.559663913100328e-06,,0.0,-0.20237567781207047,0.7386397356007818,20.347227128223242,0.0,-3.2752942175106888e-06,-0.01807640699764551,0.020343407597251516,0.003834995759665668,0.043935464060461435,0.0,-1730.5794117647058,0.0,0.0,0.0,0.06978202128361946,0.0738634212065381,0.015979738403188167,-153258000000.0,,,,61345500000,313071000000.0,178253500000.0,9.07340409621395,-81.92879375965633,-48.026446094132716,40.227459962055825,-4.455088171696415,-7.599979379789903,,-0.00010025519633408909
PTR,2018-10-30,,,,,,,,,,,278239000.0,,,,0.0,,,,0.1627192410462866,-178.58729139922977,-213.70122887864824,,,0.7548540859536577,0.43020297873968344,0.1627192410462866,0.8574607103239995,0.0,,,,,,0.04168503965545361,6.0859375,0.0,0.0,,,0.0,0.0,,-88920000.0,1311442000.0,-533400000.0,,32126937000,164324551500.0,91048975000.0,,92.18268455364208,48.67675321249576,0.0,3.9595288612754884,7.498445888669115,0.0,
PTR,2018-09-30,416.61611374407585,0.0,179.45023696682463,0.0,92.03670470951658,839.9810426540284,1646.7441996914902,839.9810426540284,232.76113727140995,15626660000.0,46130506740.6904,,0.17776556776556776,0.4127049440101416,,0.0881686564806247,0.0881686564806247,0.5247708545570313,,1.2183210104767166,,0.0,0.0,0.8603613261414159,0.4253745707534933,,0.8574606075954943,-7.881562444006721,,0.05237699907835072,,0.0,0.0,0.030724352929464373,-1.6676502972913456,-3.8716582250605596,-1.1239374587095354,0.0,0.0,0.023880594460858925,0.0,-524.1670867596777,-12945000000.0,194976026134.90442,-74615000000.0,,13214500000,45795500000.0,25540000000.0,53.08124587627693,,,6.876251564455569,0.0,0.0,0.0,-107.60663507109005
PTR,2018-09-19,0.0,0.0,0.07157284113424565,0.07157284113424565,7.349792533153651,87.60703445848628,144.33489255195263,87.60703445848628,27.778333073816615,1206131245203.5,1521546245203.5,,,1054.3105290240385,1054.3105290240385,0.8613463572466624,0.8613463572466624,,1.3722186655779738,1330.022941611451,1330.022941611451,0.0,0.0009484871605386384,0.7198865088988964,0.41861756334410005,0.28445954355162506,0.8208524775570792,0.0,,0.015545571905681357,,,,0.041955317980862425,,,,,0.0,0.0,0.0,-47.720018757402286,-101376000000.0,1298961000000.0,-543543000000.0,,64040500000,316151500000.0,170864500000.0,,127.42020445849046,66.98521339292687,0.0,2.8645378615673596,5.448963756507809,0.0,0.0
PTR,2018-06-30,,,,,,,,,,,43015000000.0,,,,,,,0.4902273633825289,,1.9963335963243143,,,,0.8158333150660909,0.41317084407636734,,0.8208506406131165,-6.862037708484207,,,,0.0,0.0,0.0,-1.4052696797756472,-5.722624404878367,-1.1702210917628644,0.0,,0.02080476192886016,0.0,,-15311000000.0,,-78716000000.0,,13408500000,29818500000.0,24728000000.0,54.79263775713716,,,6.661478894624962,0.0,0.0,0.0,
PTR,2018-04-27,33.950428048146,2.088000062063165,0.02590136111026998,0.02590136111026998,7.856120566706766,87.0818150172338,144.20939411085632,87.0818150172338,29.067896351511752,1278057931.36,1611507931.36,38.29501801881704,2.3551985820799253,3087.0964525603863,3087.0964525603863,0.9182169662423277,0.9182169662423277,2.9696785269435035,57.471752188302425,3892.531235169082,3892.531235169082,0.026113057304441783,0.00032392897836755854,0.7227548708914706,0.41958580960154623,11.891940085592012,0.8162986838375836,4.343465045592705,0.012404866063402648,,0.0,0.0,0.0,0.0386183142843677,,,,0.0,63.96173693007826,0.013151220357242428,0.014478946222172476,-47.08592169680693,-101107000.0,1299006000.0,-556715000.0,,32128643000,164294002500.0,91033353500.0,49.293638303596765,,,7.40460660972082,0.0,0.0,0.023977452257396593,0.0
PTR,2018-03-31,,,,,,,,,,,47692000000.0,,,,,,,0.5535475933470293,,5.276831157335693,,,,0.8170302162484192,0.4134850360214542,,0.8162923269866605,,,,,0.0,0.0,0.0,-0.9965817620465321,-9.500165398610651,-0.90131216231117,0.0,,0.0,0.0,,-16113000000.0,,-84745000000.0,,14256500000,43236000000.0,24270000000.0,62.987569205055884,,,5.794794188861985,0.0,0.0,0.0,
PTR,2018-03-22,0.0,5.968000473414637,22.47618562670499,22.37761491916686,10.560397695819399,118.83619131043305,198.83337352999766,118.83619131043305,41.94699682750264,868010001.52,1210508001.52,12.510052626936657,,3.321738004837129,3.3363698620111775,0.6282597849754995,0.6282597849754995,,17.874664090251322,4.63242408125153,4.652829353259073,0.0799357148863466,0.29972696114608705,0.740657638552124,0.42555722087388737,5.057411181004696,0.7372747183383132,2.369198500535523,3.76611659580601,0.008272946149727678,0.10349499171290624,,,0.0386511420553503,228.02094240837695,0.0,0.0,,126.32230616556912,0.0290429963702409,0.030015084326446107,-67.8066047878872,-151505000.0,1288371000.0,-598138000.0,,32118571500,164328909500.0,91032834500.0,,,,0.0,0.0,0.0,0.05022039504635896,0.09857070753813035
PTR,2017-12-31,0.0,5.968000000129363,0.0,0.08068003170889014,10.560396858339452,0.0,198.8333577617503,0.0,41.94699350094528,889634751991.44,1232132751991.44,12.821715817416445,,,948.4379019098507,,,,18.19398056748826,,1313.5743624642216,0.07799268165354631,0.001054365286315867,,0.0,5.057411181004696,0.7372747183383132,2.369198500535523,0.0,-0.005890057676220836,-0.07552064567269583,,,0.0386511420553503,0.0,0.0,0.0,,0.0,0.0290429963702409,0.030015084326446107,20.210326439870236,-151505000000.0,,,,58663500000,336066500000.0,163295000000.0,,,,0.0,0.0,0.0,,-0.08068003170889014
PTR,2017-10-31,32.85094849063735,1.11106633662644,-9.875364880798845,-9.861182505958814,11.260737438489915,94.08771567011279,159.74467906956258,94.08771567011279,34.322574433773795,990547786.1400001,1323257786.14,60.7884495943541,2.0559528142467234,-6.839240961245021,-6.849077172964564,0.7178407884490097,0.7178407884490097,2.746516228146826,78.40598365467797,-9.136438423149421,-9.149578469420916,0.01645049358345336,-0.14600507115722258,0.7726739420783695,0.4359337512449853,19.713811696391538,0.787047382510313,2.2862062715243794,-8.888186560294569,-0.0019595218192993537,-0.1191162933415158,0.0,0.0,0.04210544391801169,696.3125,-2316.3221153846152,0.0,0.0,48.498434050500045,0.006872004088441979,0.006955263506101595,-53.53798772965475,-129985000.0,1276618000.0,-585803000.0,,32123893000,164343348000.0,91028528500.0,48.32322875911954,,,7.553303232684288,0.0,0.0,0.011808835284321533,-0.014182374840030654
PTR,2017-08-25,30.79066547797952,0.9682446646003802,9.245370484445337,9.240072204701017,7.311498377768878,88.35902828783473,146.62535966063433,88.35902828783473,31.823447019947448,983947668.22,1362458668.22,64.86996757779536,2.0399039457240593,6.793670421934228,6.797565928981002,0.7108498273135455,0.7108498273135455,2.8246266574479115,81.09390323314089,9.407101062741226,9.412495117236615,0.015415453981856076,0.1471114823228947,0.733860719484751,0.42330549493412256,22.529075650258914,0.7666012948600676,2.3277372262773723,9.548589135021096,8.232145124804471e-05,0.005340189873417721,0.0,0.0,0.04280940440883233,1744.9759036144578,5811.44578313253,0.0,0.0,43.87420709769951,0.006941024688086479,0.006603527976615988,-50.09422958607924,-131150000.0,1281155000.0,-585035000.0,,32123264500,164323702500.0,91030115000.0,47.31644034414844,,,7.714020694397799,0.0,0.0,0.0109580728009623,0.005298279744319063
PTR,2017-04-27,23.5521479090865,0.9320000259591426,0.0,0.003960678006994462,4.59619981057461,66.1569703542774,109.17995450278507,66.1569703542774,23.802863598830463,1420398222.24,1817041222.24,72.72531986278224,2.877869154933858,,17113.23159325301,1.02453301046029,1.02453301046029,3.6815076257144534,92.31994828980795,,21892.062918554217,0.013750369223357074,5.843431701083597e-05,0.7240169765130346,0.4200123773406794,20.152575957727873,0.7387523765111024,2.5760423786739577,0.0,-5.702626117924956e-05,-0.004147253084839486,0.0,0.0,0.042628180585316824,0.0,-5946.493975903614,0.0,0.0,37.246633498481536,0.00822731512281485,0.00853636576607447,-37.539246501528346,-145656000.0,1284209000.0,-591883000.0,,32123232500,164316087000.0,91034427500.0,46.19452790851752,,,7.901368766509245,0.0,0.0,0.014087707175346548,-0.003960678006994462
